intent,text,no_taboo_words
atis_flight,Enumerate all air transport options available for travelling from Atlanta to Toronto on Friday afternoon.,True
atis_flight,How do I arrange to fly with Delta Airlines from Orlando to Salt Lake City on April 1st?,True
atis_ground_service,I am looking for a means of traversing Tampa that is not reliant upon public transit.,True
atis_flight,"I want to see options for traveling from Montreal to Orlando, can you provide that?",True
atis_flight,Would it be possible to present me with data concerning Delta's takeoff 486?,True
atis_abbreviation,Tell me about the boundaries related to ap 57.,True
atis_ground_service,What are the alternate routes to get to downtown Nashville after arriving at the local airstrip?,True
atis_airfare,"Can you help me get transportation from Nashville, TN to Seattle?",True
atis_flight,Investigate transportation alternatives for Sunday travel between Memphis and Cincinnati.,True
atis_flight,Are there any options for transportation between Dallas and Houston past midnight available?,True
atis_flight,Indulge in a luxurious journey from Pittsburgh to Newark starting Monday dawn.,True
atis_flight,Schedule an upscale trip from Pittsburgh to Newark on the early hours of Monday.,True
atis_airline,Provide a roster of aviation companies offering trips in and out of Denver.,True
atis_airline,What is the name of the US-based carrier?,True
atis_ground_service,How can I travel around Boston during the night?,True
atis_airfare,"I am curious about the costs of taking a roundabout trip by coach from Detroit to St. Petersburg, would it be possible for you to help me create a checklist for it?",True
atis_flight,Record a route available on Delta Airlines that goes from Toronto to San Diego.,True
atis_airline,What is the identity of hp in the travel industry? ,True
atis_airfare,"What would be the expenditure for a high-end sojourn, making you travel from Detroit to St. Petersburg and back?",True
atis_flight,"I need options for travel from Los Angeles to Pittsburgh on a Tuesday, can you assist me with that?",True
atis_airfare,How can I get to Salt Lake City from Boston without spending too much money?,True
atis_ground_service,How can one move from LaGuardia to the metropolis of New York?,True
atis_airfare,"What would be the cost of traveling on Saturday, from Washington to Toronto?",True
atis_airfare,"Can you display the least expensive cost for a single trip departing from San Francisco going to Houston on February 28th, 1994?",True
atis_abbreviation,Could you provide an interpretation for ua?,True
atis_airfare,How much does a flight from Boston to Washington DC cost?,True
atis_airline,Name a carrier that operates in the United States.,True
atis_flight,What are the available departures connecting Houston and Milwaukee?,True
atis_flight,Can you indicate the available air routes from Washington DC to Columbus Ohio?,True
atis_flight,Is it possible to travel from Dallas to Houston after midnight?,True
atis_abbreviation,Can you give information on phl?,True
atis_airfare,What would be the expense of booking a first-class flight for a return journey from Indy to Memphis?,True
atis_flight,Demonstrate to me the available air transportation options from Fort Worth to San Jose.,True
atis_airfare,What are my options for getting from Nashville in Tennessee to Seattle?,True
atis_flight,What is the time of the evening when the train departing from St. Paul arrives in Kansas City on Friday?,True
atis_flight,"On Wednesday of the upcoming week, my intention is to leave Kansas City for Chicago and reach there around 7 pm.",True
atis_airline,What are the carriers that operate in Denver?,True
atis_abbreviation,Can you provide details about fared bh classification?,True
atis_ground_service,What are the commuting options between EWR and NYC?,True
atis_airfare,Which transportation alternative would allow me to save the most money for travelling from Indianapolis to Orlando on December 27th?,True
atis_aircraft,What is the diversity of vehicles available for US Air at Charlotte airport?,True
atis_airline,What are the flight options from Baltimore to San Francisco?,True
atis_ground_service,Is there a way to get from LGA to NYC using terrestrial modes?,True
atis_ground_service,What are the different ways to travel around Baltimore?,True
atis_ground_service,How can I travel across the city of St. Louis using alternative modes of transportation?,True
atis_ground_service,I require a vehicle to traverse around Washington DC.,True
atis_airline,"""What is the carrier code for DL?""",True
atis_airfare,"I'm interested in exploring flight possibilities that will take me from Toronto to Detroit and then bring me back again. Can you give me an idea of what's out there on Delta, Northwest US Air, and United Airlines?",True
atis_flight,"I am seeking details about the evening scheduled journeys from Cincinnati to San Jose, California.",True
atis_flight,"I'm inquiring about options for traveling from Los Angeles to Pittsburgh on Tuesday, can you assist me?",True
atis_flight,"numerate every available air travel from the Big Apple to South Florida, regardless of cabin.",True
atis_abbreviation,Could you shed some light on the interpretation of bn fare category?,True
atis_airfare,What are my options for cost-effective travel between Charlotte and Las Vegas?,True
atis_flight,"""My desire is to travel from San Francisco to Milwaukee and then proceed to Denver.""",True
atis_flight,Provide details of Delta Airlines' connectivity between Toronto and San Diego.,True
atis_abbreviation,Can you provide information on the sb meal identification?,True
atis_ground_service,Is there a way for individuals to traverse land once they have finished their air travel in Salt Lake City?,True
atis_airfare,What is the least expensive cost for a round-trip coach from Las Vegas to Detroit?,True
atis_abbreviation,What's the definition of AP 57?,True
atis_airfare,A conveyance that can transport me to San Jose before 7 am on April 1st must be procured.,True
atis_ground_service,What are the commuting options in Westchester County?,True
atis_ground_service,I require a vehicle to hire within the vicinity of Milwaukee.,True
atis_abbreviation,Can you provide some insight on the absence of sa?,True
atis_ground_service,How can one reach downtown Pittsburgh from its nearby flight facility?,True
atis_abbreviation,Could you clarify the significance of qo in the fare categorization system?,True
atis_abbreviation,Please share insights on the meal designation with sb code.,True
atis_flight,Please list the available schedule for travelling to Minneapolis from Charlotte on Monday using United States number one thousand five hundred.,True
atis_airline,Could you please provide a roster of flight companies running flights from Seattle to Salt Lake City?,True
atis_aircraft,Classify the vehicle chosen for a daylight voyage from Cleveland en route to Dallas.,True
atis_airfare,What is the most inexpensive way to travel from BWI to Salt Lake City?,True
atis_ground_service,Are cabs readily accessible once you arrive at the location in Ontario?,True
atis_ground_service,What are the different modes of travel in Denver that don't involve planes?,True
atis_flight,Can a trip be completed from Houston to Dallas before the clock strikes twelve?,True
atis_aircraft,Can you give me some information about the M80 vehicle?,True
atis_flight,What are the details of the Wednesday air travel originating in Oakland and ending in Salt Lake City? ,True
atis_abbreviation,"Can you come up with a replacement phrase for ""hp""?",True
atis_airfare,"What is the charge for a premium journey between Detroit and St. Petersburg, which includes a return trip?",True
atis_abbreviation,Can you shed light on the significance of letter M?,True
atis_airfare,What is the expense for a return flight between Columbus and St. Louis on TWA?,True
atis_ground_service,How can one commute within the borders of Westchester County?,True
atis_abbreviation,Which class corresponds with fare type q?,True
atis_ground_service,How can one travel within Denver aside from using their feet?,True
atis_airline,What are the flight options from Baltimore to San Francisco?,True
atis_ground_service,Is there a mode of conveyance that connects the downtown zone to Tacoma airport?,True
atis_airline,Is it possible to travel back and forth from Burbank to Milwaukee via St. Louis using the same airline?,True
atis_flight,I am seeking transportation assistance to travel from Los Angeles to Charlotte during the morning hours. Could you aid me in this endeavor?,True
atis_flight,What are the possible itineraries for going to Orlando from Montreal?,True
atis_abbreviation,Could you provide information on the designation identified as fare m?,True
atis_abbreviation,"What does the letter ""M"" signify in terms of pricing for transportation?",True
atis_airline,"The particular carrier denoted by the two-letter code ""kw"" - what is it called?",True
atis_airfare,Can you provide a roster of the monetary value for travel between Washington DC and Boston?,True
atis_abbreviation,Please provide some insights on MCI.,True
atis_flight,I'm looking for a rundown of the various journeys that go to Miami originating from New York across differing categories.,True
atis_airline,"What is the identity of the brand named ""kw"" in the aviation industry?",True
atis_airfare,Could you furnish a table exhibiting the cost for voyaging from Washington DC to Boston?,True
atis_flight,What is the final departure timing from Oakland to Salt Lake City on Wednesday?,True
atis_airfare,What is the cost of a premium return flight from India to Memphis with top-tier service?,True
atis_airfare,"What is the most affordable option for a one-way trip from San Francisco to Houston on February 28th, 1994?",True
atis_flight,"Can you provide me with information on departures from Cincinnati to San Jose, California after 6 pm?",True
atis_airfare,How much does one have to spend to travel on TWA for a return journey from Columbus to St. Louis?,True
atis_aircraft,How many distinct forms of transportation can be found at Charlotte airport that are operated by US Air?,True
atis_abbreviation,How can one comprehend the message without sa?,True
atis_flight,I'm trying to secure a round-trip travel arrangement beginning in Kansas City and terminating in Chicago - can somebody guide me through the process?,True
atis_airline,What are the flight options from Baltimore to San Francisco?,True
atis_flight,What are the options for transit from Newark going to Los Angeles?,True
atis_ground_service,What are my alternatives for traveling on land in Fort Worth?,True
atis_ground_service,"If I were to arrive in the morning at 842, are there any means of getting from Memphis airfield to the city center?",True
atis_flight,What are the departure times from Newark on Saturday afternoon that reach Los Angeles?,True
atis_airfare,What is the least expensive round-trip cost from Indianapolis to Orlando on December twenty-seventh?,True
atis_ground_service,It's necessary for me to acquire a mode of conveyance while staying in Milwaukee.,True
atis_airfare,How much do I need to pay for a weekend trip between Washington and Boston?,True
atis_airfare,"I am looking for transportation facilities for a trip from Milwaukee to Orlando on either Wednesday evening or Thursday morning, can you help me out with that? ",True
atis_flight,"Are there any planes leaving Cincinnati for San Jose, California past 6 pm?",True
atis_ground_service,What are the modes of conveyance to use when moving from one point to another within Westchester County?,True
atis_flight,Are there any means of moving between Charlotte and St. Petersburg?,True
atis_airline,Which flight service operates in the United States?,True
atis_airfare,Can you display the most economical round trip transportation options from San Francisco to Houston?,True
atis_aircraft,How many unique types of machines are available for US air services at the airport in Charlotte? ,True
atis_abbreviation,What does the letter f signify in regards to fare groupings?,True
atis_airfare,How can I save money on a one-way journey from Indianapolis to Orlando scheduled for December 27th?,True
atis_aircraft,Can you describe the M80 variety of machinery that flies in the sky? ,True
atis_airfare,I would like to see the most economical charge for a one-way journey originating in San Francisco and headed for Houston on the 28th of February back in 1994.,True
atis_flight,What are some travel options for traveling from Toronto to San Diego?,True
atis_airline,What are the departure options available from Love Field during 6 to 10 o'clock in the morning of June 6th?,True
atis_ground_service,Are there ways to move about in Fort Worth that do not involve flying?,True
atis_flight,What are the available air routes linking the two cities of St. Petersburg and Charlotte?,True
atis_airline,"What are the flight routes connecting Burbank, Milwaukee and St. Louis?",True
atis_airfare,Which one-way ride between Detroit and Westchester County demands the highest payment?,True
atis_abbreviation,Give a description of the interpretation of q.,True
atis_flight,"""What are my options for traveling from Ontario to Memphis?""",True
atis_ground_service,Trying to find a mode of travel while visiting Milwaukee.,True
atis_airfare,Can you tell me the value of a coach ride spanning Pittsburgh and Atlanta?,True
atis_airfare,Provide a roster of reasonable rates for travel from Washington DC to Toronto.,True
atis_abbreviation,Provide interpretation for AP 57.,True
atis_flight,Can you provide me with a record of available direct routes from Oakland to Salt Lake City?,True
atis_flight,Is it feasible to arrive in Dallas from Houston prior to midnight?,True
atis_flight,I need information about the sequence of air transportations that took place last Wednesday connecting Oakland and Salt Lake City.,True
atis_airfare,"If one desires to journey from Detroit to St. Petersburg luxuriously, what would be the expenditure for the two-way voyage?",True
atis_airfare,Please present me with the cheapest coach-based roundtrip provided by TWA departing from Las Vegas heading to Detroit.,True
atis_ground_service,"I'm looking for suggestions on how to travel within Denver, any ideas?",True
atis_flight,What options are available to depart from New York City and arrive in Cleveland during the month of June on a Friday afternoon?,True
atis_aircraft,Identify the specific vehicle deployed for a Cleveland to Dallas trip that departs pre-noon.,True
atis_abbreviation,Could you provide information on the sb meal label?,True
atis_ground_service,Can you provide a catalog of modes for movement within Baltimore city?,True
atis_airfare,What is the most affordable way to travel from Boston to Salt Lake City?,True
atis_airfare,How much should one spend on a flight journey between Washington DC and Boston with the least possible cost?,True
atis_abbreviation,What's the significance of ua? ,True
atis_ground_service,Is there a means of commute found in Salt Lake City?,True
atis_flight,Is there transportation available to go from The Big Apple to The Entertainment Capital of The World on a Sunday afternoon?,True
atis_flight,Enlist Delta Airlines' Toronto-San Diego route for bookings.,True
atis_ground_service,How can you get to the city if you arrive in Phoenix flying?,True
atis_airfare,How much does it cost to fly from BWI to Salt Lake City at a price that won't break the bank?,True
atis_airfare,Enumerate the cost of a coach round voyage from Detroit to St. Petersburg.,True
atis_abbreviation,What does ua represent?,True
atis_airfare,Can you provide the price for a round-trip first-class journey between Indiananapolis and Memphis?,True
atis_airfare,I am seeking assistance in finding budget-friendly means of transportation for a roundtrip itinerary from Houston to Boston.,True
atis_airfare,Can you tell me the cost of travelling to Orlando from Milwaukee for either Wednesday evening or Thursday morning and also provide me with a one-way option? ,True
atis_abbreviation,Could you clarify the meaning of fare classification f?,True
atis_airfare,What is the enumeration of charges associated with transportation from Washington DC to Boston?,True
atis_abbreviation,Could you shed some light on the interpretation of fare type F?,True
atis_airline,Enumerate the carriers that operate flights between Seattle and Salt Lake City.,True
atis_airfare,What is involved in itemizing the amount of a tour package via plane from Detroit to St. Petersburg?,True
atis_airline,What planes leave Baltimore for other locations?,True
atis_ground_service,Which varieties of non-airborne travel are present in Denver city limits?,True
atis_flight,Enlist an itinerary on Delta Airlines travelling from Toronto to San Diego.,True
atis_flight,What is the path for getting from St. Paul to Kansas City on a Friday night?,True
atis_flight,Is it possible for you to provide information about the departing planes from Cleveland to Indianapolis during the morning hours of April 21st?,True
atis_flight,Can you arrange a trip for me soonest possible from LA to Charlotte at dawn time?,True
atis_abbreviation,Please indicate the implication of ap 20.,True
atis_abbreviation,Give me some insight into the implication of the price label Y for tickets.,True
atis_aircraft,Can you provide some information on the m80 type of transport vehicle?,True
atis_abbreviation,"What's the significance of ""F"" fare classification?",True
atis_abbreviation,What can you tell me about ap 20 and its importance?,True
atis_flight,"Is it possible for you to aid me in finding a means of transportation from Memphis, Tennessee to Cincinnati, Ohio that is available on this forthcoming Sunday?",True
atis_airfare,What is the expense of traveling via TWA from Columbus to Milwaukee?,True
atis_airline,From where can I book a trip to travel from Baltimore to San Francisco?,True
atis_flight,Can you provide a rundown of US air departures from Charlotte airport on Saturday around 1 pm?,True
atis_ground_service,Seeking a means of conveyance around Milwaukee.,True
atis_ground_service,Can you suggest a means of commuting that I could access in Boston during the wee hours?,True
atis_ground_service,What are the options for getting from LaGuardia to New York City?,True
atis_flight,"On April 12th, leaving from Chicago, which arrivals can be expected in Indianapolis by early daylight?",True
atis_ground_service,Are there any means of travel that exist within Phoenix upon landing?,True
atis_airline,Please mention some companies that offer air travel services connecting Seattle to Salt Lake City.,True
atis_flight,Can you provide information on evening departures from Tampa that arrive in Cincinnati?,True
atis_flight,Enumerate Alaska Airline's Burbank-bound itineraries.,True
atis_airfare,Retrieve the expenses associated with a Saturday trip between the nation's capital and the Massachusetts city.,True
atis_flight,Can I find a route from San Francisco to Milwaukee and then from Milwaukee to Denver via air travel?,True
atis_aircraft,Which specific mode of transportation is designated for the US-bound departure scheduled at 4:19 in the afternoon?,True
atis_abbreviation,What information can you impart about the representation of the letter M?,True
atis_airfare,What are the costs of flying from Washington to Toronto on a Saturday?,True
atis_ground_service,What alternatives does one have for commuting in Las Vegas apart from airborne options?,True
atis_flight,"On Friday evening, what's the route from St. Paul to Kansas City?",True
atis_airline,How can I travel to San Diego from Boston by air?,True
atis_airfare,What is the cost for a round trip from Indianapolis to Memphis on first-class flight?,True
atis_airline,Identify a domestic flying service provider.,True
atis_airline,"""AS, what flying company matches it?""",True
atis_flight,What are the options for traveling from St. Petersburg to Charlotte?,True
