intent,text
atis_abbreviation,Can you provide information about the meaning of 73s?
atis_abbreviation,What does the term 73s signify?
atis_abbreviation,Could you enlighten me about the significance of 73s?
atis_abbreviation,Could you provide some information about the significance of 73s?
atis_abbreviation,Can you tell me what is the purpose or use of using 73s?
atis_abbreviation,"Do you have any knowledge about the context in which ""73s"" is used?"
atis_abbreviation,What is the significance of m?
atis_abbreviation,Can you provide information regarding the letter m?
atis_abbreviation,How would you define the letter m?
atis_abbreviation,"Can you enlighten me about the significance of the letter ""m""?"
atis_abbreviation,"How would you describe the connotation of the symbol ""m""?"
atis_abbreviation,"What is the interpretation behind utilizing the character ""m""?"
atis_abbreviation,What is the definition of fare code H? 
atis_abbreviation,Could you provide information about fare code H? 
atis_abbreviation,How would you describe fare code H?
atis_abbreviation,Can you provide information about fare code H?
atis_abbreviation,What is the definition of fare code H?
atis_abbreviation,Could you shed some light on fare code H?
atis_abbreviation,What does TPA stand for?
atis_abbreviation,Can you provide some information on TPA?
atis_abbreviation,In what context is TPA used?
atis_abbreviation,How is TPA defined?
atis_abbreviation,What does TPA stand for?
atis_abbreviation,Can you provide a description of TPA?
atis_abbreviation,Can you provide details about fare code BN?
atis_abbreviation,How is fare code BN interpreted?
atis_abbreviation,What information does fare code BN contain?
atis_abbreviation,Can you provide information regarding the significance of fare code bn? 
atis_abbreviation,What is the explanation behind fare code bn? 
atis_abbreviation,Define the implication of fare code bn.
atis_abbreviation,Can you provide a definition for AP 20?
atis_abbreviation,"In regards to AP 20, what is its significance?"
atis_abbreviation,What is the interpretation of AP 20?
atis_abbreviation,What is the significance of ap 20?
atis_abbreviation,Can you tell me about ap 20?
atis_abbreviation,What information can you provide regarding ap 20?
atis_abbreviation,Can you give an interpretation of the letter Q?
atis_abbreviation,How would you define the symbol Q?
atis_abbreviation,What is the connotation associated with the character Q?
atis_abbreviation,What is the definition of the symbol q?
atis_abbreviation,How would you clarify the significance of the letter q?
atis_abbreviation,Can you describe the concept represented by the character q?
atis_abbreviation,Can you provide information on the category of ticket represented by fare code q?
atis_abbreviation,In what classification does fare code q belong?
