intent,text
atis_abbreviation,Can you provide information about the significance of 73s?
atis_abbreviation,"What's the deal with the term ""73s""?"
atis_abbreviation,Any insights on what 73s refers to?
atis_abbreviation,"Can you provide information about the significance of ""73s""?"
atis_abbreviation,"How would you define the term ""73s"" in a phrase or sentence?"
atis_abbreviation,"In which context might one encounter the use of ""73s""?"
atis_abbreviation,Can you shed light on the significance of letter M?
atis_abbreviation,I would like to be enlightened about the interpretation of character M.
atis_abbreviation,What information can you impart about the representation of the letter M?
atis_abbreviation,"Could you translate the letter ""m""?"
atis_abbreviation,"Please provide a definition for the character ""m""."
atis_abbreviation,"How should I interpret the symbol ""m""?"
atis_abbreviation,What's the significance of fare classification H?
atis_abbreviation,Can you share insights on the H categorization for fares?
atis_abbreviation,How do the fares marked as H differ from others?
atis_abbreviation,What's the significance of H in the fare category?
atis_abbreviation,Could you shed some light on the H category of fare?
atis_abbreviation,"In air travel, what does the letter H denote within the fare class?"
atis_abbreviation,Can you provide information about TPA?
atis_abbreviation,What does the abbreviation TPA stand for?
atis_abbreviation,Could you shed some light on TPA?
atis_abbreviation,TPA - what kind of entity is this?
atis_abbreviation,Identify the meaning behind TPA.
atis_abbreviation,"In regards to TPA, can you provide information on its nature?"
atis_abbreviation,What's the significance of bn in fare classification? 
atis_abbreviation,Could you provide information on the bn designation within fares? 
atis_abbreviation,How does the bn label function in assigning fares?
atis_abbreviation,Could you shed some light on the interpretation of bn fare category?
atis_abbreviation,What is the significance of fare group bn?
atis_abbreviation,Please elucidate the implication of the bn tariff classification.
atis_abbreviation,Can you tell me the definition of ap 20?
atis_abbreviation,What's the significance of ap 20?
atis_abbreviation,How would you define ap 20?
atis_abbreviation,Could you provide information regarding the significance of ap 20?
atis_abbreviation,Please indicate the implication of ap 20.
atis_abbreviation,What can you tell me about ap 20 and its importance?
atis_abbreviation,What is the definition of the letter Q?
atis_abbreviation,How would you describe the letter Q?
atis_abbreviation,Can you provide an interpretation of Q?
atis_abbreviation,What's the significance of q?
atis_abbreviation,Can you shed light on the definition of q?
atis_abbreviation,Give a description of the interpretation of q.
atis_abbreviation,Which category does fare code q belong to?
atis_abbreviation,In which class can you find fare code q?
atis_abbreviation,What type of fare is denoted by code q in a specific section?
atis_abbreviation,The associated course for fare q?
atis_abbreviation,What category does the q fare belong to?
atis_abbreviation,Which class corresponds with fare type q?
atis_abbreviation,What information is associated with the bh fare category?
atis_abbreviation,Can you provide details about fared bh classification?
atis_abbreviation,How would you describe the features of the bh class ticket?
