,intent,text,seeds,label,is_invalid
0,phone,can you please provide me with the address of your bank,what's the phone number of my bank,0,X
1,phone,i need to speak with someone from my bank can you help,what's my bank's phone number,0,
2,phone,how can i get in touch with my bank,what's my bank's phone number,0,
3,phone,i would like to know how to reach my bank,what's the phone number of my bank,0,
4,phone,could you please tell me the name of your bank,what's my bank's phone number,0,X
5,phone,what is the quickest way to reach my bank,what number do i call to reach my bank,0,
6,phone,is there any way i can get in touch with my bank,what's the phone number of my bank,0,
7,phone,what are the different ways i can reach my banks customer service,what's the phone number of my bank,0,
8,phone,how can i reach my banks customer service department,what's my bank's phone number,0,
9,phone,can you provide me with the name of your bank,what's the phone number of my bank,0,
10,phone,how can i reach my bank,what's my bank's phone number,0,
11,phone,can you please provide me with the name of your bank,what number do i call to reach my bank,0,
12,phone,can you provide the details of my bank,what's my bank's phone number,0,X
13,phone,what is the best way to communicate with my bank,what number do i call to reach my bank,0,
14,phone,how can i communicate with my bank,what number do i call to reach my bank,0,
15,phone,what should i do to reach my bank,what number do i call to reach my bank,0,
16,phone,what are the options for contacting my bank,what's the phone number of my bank,0,
17,phone,how can i communicate with my bank,what's my bank's phone number,0,
18,phone,how can i get assistance from my bank,what number do i call to reach my bank,0,
19,phone,can you tell me how i can reach my bank,what's the phone number of my bank,0,
20,phone,what is your banks name,what's my bank's phone number,0,
21,phone,how can i reach my bank as soon as possible,what number do i call to reach my bank,0,
22,phone,what are the alternative ways to get in touch with my bank,what number do i call to reach my bank,0,
23,phone,are you calling to ask a question,what number do i call to reach my bank,0,X
24,phone,how do i reach my banks customer service,what's the phone number of my bank,0,
25,phone,what is the most efficient way to communicate with my bank,what number do i call to reach my bank,0,X
26,phone,im sorry but i dont have the ability to access your personal information can you please provide me with the name of your bank so that i can assist you better,what's the phone number of my bank,0,X
27,phone,how do i get in touch with my bank,what number do i call to reach my bank,0,
28,phone,can you tell me the location of your bank,what's the phone number of my bank,0,X
29,phone,what are the alternatives to reach my bank,what's my bank's phone number,0,
30,phone,what are the options to communicate with my bank,what's my bank's phone number,0,
31,phone,how can i reach my bank by phone,what's my bank's phone number,0,
32,phone,what are the digits i need to dial to reach my bank,what's my bank's phone number,0,
33,phone,could you please provide me with the name of your bank,what's my bank's phone number,0,X
34,phone,how can i connect with my banks customer support team,what's the phone number of my bank,0,X
35,phone,what are the different ways to communicate with my banks customer service,what's my bank's phone number,0,
36,phone,what are the ways to get in touch with my bank,what's my bank's phone number,0,
37,phone,are you calling to check your account balance,what number do i call to reach my bank,0,X
38,phone,i hope i have been helpful is there anything else i can assist you with,what number do i call to reach my bank,0,X
39,phone,how may i assist you with your inquiry,what number do i call to reach my bank,0,X
40,phone,what kind of information are you looking for,what number do i call to reach my bank,0,X
41,phone,im sorry but as an ai language model i dont have access to your personal information could you please provide me with the name of your bank so that i can assist you better,what's the phone number of my bank,0,X
42,phone,what are the details of my bank,what's my bank's phone number,0,X
43,phone,can you provide me with more context regarding your bank,what number do i call to reach my bank,0,X
44,phone,can you give me more information about your bank,what's the phone number of my bank,0,X
45,phone,i need to reach my bank what are the available options,what's the phone number of my bank,0,
46,phone,how do i reach my bank by phone,what's my bank's phone number,0,
47,phone,what is the email address for my bank,what number do i call to reach my bank,0,X
48,phone,what is the best way to get in touch with my bank,what number do i call to reach my bank,0,
49,phone,are you calling to make a payment,what number do i call to reach my bank,0,X
50,phone,can you provide me with the details of my bank,what's my bank's phone number,0,X
51,phone,what are the methods to reach my banks customer service,what's my bank's phone number,0,
52,phone,what can i do to reach my bank,what number do i call to reach my bank,0,
53,phone,alternatively you can try using online banking or contacting customer support through social media or email,what number do i call to reach my bank,0,X
54,phone,what is the best way to reach my bank,what number do i call to reach my bank,0,
55,phone,what are the digits that my bank uses to identify themselves,what's the phone number of my bank,0,
56,phone,can you please provide me with the location of your bank,what's my bank's phone number,0,X
57,phone,can you assist me in reaching my bank,what's the phone number of my bank,0,
58,phone,what are the different ways to communicate with my bank,what number do i call to reach my bank,0,
59,phone,i would like to get in touch with my bank,what's the phone number of my bank,0,
60,phone,how can i assist you with your inquiry,what number do i call to reach my bank,0,X
61,phone,what is the name of your bank,what's the phone number of my bank,0,X
62,phone,is there a way for me to get in touch with my bank,what's my bank's phone number,0,
63,phone,can you provide me with the details of my banks customer support,what's the phone number of my bank,0,
64,phone,please provide me with the name of the bank so that i can assist you better,what's the phone number of my bank,0,X
65,phone,i would like to speak with my bank,what's the phone number of my bank,0,
66,phone,may i help you with anything else,what number do i call to reach my bank,0,X
67,phone,thank you for contacting us have a great day,what number do i call to reach my bank,0,X
68,phone,whats the best way to get in touch with my bank,what's my bank's phone number,0,
69,phone,i would like to speak to someone at my bank,what's my bank's phone number,0,
70,phone,i need to speak with someone from my bank,what's my bank's phone number,0,
71,phone,i need to get in touch with my bank can you assist me with that,what's the phone number of my bank,0,
72,phone,im sorry i cannot answer that question without knowing the name of your bank,what's the phone number of my bank,0,X
73,phone,what are the options to get in touch with my bank,what's the phone number of my bank,0,
74,phone,what are the available options for reaching out to my bank,what number do i call to reach my bank,0,
75,phone,how can i get in touch with my bank,what number do i call to reach my bank,0,
76,phone,can you please provide me with the name of your bank,what's my bank's phone number,0,
77,phone,can you please provide more information about the bank you are referring to,what's the phone number of my bank,0,X
78,phone,what are the options for reaching out to my bank,what number do i call to reach my bank,0,
79,phone,can you please provide the name of your bank,what's the phone number of my bank,0,X
80,phone,could you please tell me the phone number of your bank,what's the phone number of my bank,0,
81,phone,i would like to know my banks phone number,what's my bank's phone number,0,
82,phone,im sorry but i dont have access to your personal account information can you please contact your bank directly for assistance,what's my bank's phone number,0,X
83,phone,may i have the phone number of my bank,what's the phone number of my bank,0,
84,phone,thank you for your inquiry have a nice day,what's my bank's phone number,0,X
85,phone,what is the telephone number of my bank,what's my bank's phone number,0,
86,phone,please tell me the phone number of your bank,what's my bank's phone number,0,
87,phone,how can i contact my bank,what number do i call to reach my bank,0,
88,phone,what is the phone number to reach my bank,what number do i call to reach my bank,0,
89,phone,what is the contact number of your bank,what's the phone number of my bank,0,
90,phone,could you please provide me with the phone number of your bank,what's my bank's phone number,0,
92,phone,can you please give me the phone number for my bank,what's my bank's phone number,0,
93,phone,whats the phone number of my bank,what's the phone number of my bank,0,
94,phone,what is my banks contact number,what's my bank's phone number,0,
95,phone,please provide me the phone number of your bank,what's the phone number of my bank,0,X
96,phone,please provide me with the phone number of my bank,what's my bank's phone number,0,
97,phone,what is my banks phone number,what's my bank's phone number,0,
98,phone,may i assist you with something else,what's the phone number of my bank,0,
99,phone,can you give me the phone number for my bank,what's my bank's phone number,0,
100,phone,alternatively you can try searching for the phone number on search engines or contacting your banks customer support through social media channels,what number do i call to reach my bank,0,X
101,phone,what is the phone number of your bank,what's my bank's phone number,0,
102,phone,whats the phone number of your bank,what's the phone number of my bank,0,
103,phone,what is the support number for my bank,what number do i call to reach my bank,0,
105,phone,can you please provide me with your phone number so that i can call your bank and get the phone number for you,what's the phone number of my bank,0,X
106,phone,can you please tell me the phone number of your bank,what's the phone number of my bank,0,
107,phone,what is the helpline number for your bank,what's the phone number of my bank,0,
108,phone,what is the phone number of my bank,what's the phone number of my bank,0,
109,phone,can you tell me the number to reach my bank,what number do i call to reach my bank,0,
110,phone,i apologize but as an ai language model i dont have access to your banks phone number please provide it to me so i can assist you better,what's my bank's phone number,0,X
111,phone,im sorry but i dont have access to your personal information however you can check the banks website or app for their customer service contact information,what number do i call to reach my bank,0,X
112,phone,what is the phone number i can call to reach my bank,what number do i call to reach my bank,0,
113,phone,can you tell me the phone number of my bank,what's my bank's phone number,0,
114,phone,can you tell me the phone number for my bank,what number do i call to reach my bank,0,
115,phone,i need the phone number of my bank,what's the phone number of my bank,0,
116,phone,what is the contact number of my bank,what number do i call to reach my bank,0,
117,phone,whats my banks contact number,what's my bank's phone number,0,
118,phone,i would like to know the phone number of your bank,what's the phone number of my bank,0,X
119,phone,can you please provide me with the contact details for my bank,what's my bank's phone number,0,
120,phone,i want to contact my bank can you provide me with their phone number,what number do i call to reach my bank,0,
121,phone,the phone number of my bank is 1234567890,what's the phone number of my bank,0,X
122,phone,could you tell me the phone number of my bank,what's the phone number of my bank,0,
123,phone,i am sorry i cannot provide you with the phone number of your bank as i do not have access to your personal information,what's the phone number of my bank,0,X
124,phone,could you please give me the phone number of your bank,what's my bank's phone number,0,
125,phone,can you please give me the phone number of your bank,what's my bank's phone number,0,
126,phone,whats the number for your bank,what's the phone number of my bank,0,
127,phone,what phone number should i dial to reach my bank,what number do i call to reach my bank,0,
128,phone,what is the customer service number for my bank,what number do i call to reach my bank,0,
129,phone,what is the customer service phone number for my bank,what's the phone number of my bank,0,
130,phone,can you please confirm your banks name once more,what's the phone number of my bank,0,X
131,phone,can you please provide me with the phone number of your bank,what's my bank's phone number,0,X
133,phone,can you please tell me the phone number for my bank,what's my bank's phone number,0,
134,phone,i would like to know the phone number of my bank,what's the phone number of my bank,0,
135,phone,could you please provide me with the phone number for my bank,what number do i call to reach my bank,0,
136,phone,could you please provide me with my banks phone number,what's my bank's phone number,0,
137,phone,could you please tell me the phone number for my bank,what's my bank's phone number,0,
139,phone,may i know the name of your bank so i can look up their phone number for you,what's the phone number of my bank,0,X
140,phone,could you tell me the phone number for my bank,what's my bank's phone number,0,
141,phone,i am sorry i am an ai language model and i do not have access to your personal information please provide me with your banks phone number,what's my bank's phone number,0,X
142,phone,can you please provide me with the contact number of my bank,what's my bank's phone number,0,
143,phone,what is the helpline number for my bank,what number do i call to reach my bank,0,
144,phone,i need the phone number for my bank,what's my bank's phone number,0,
145,phone,im sorry i dont have access to your banks phone number is there anything else i can assist you with,what's the phone number of my bank,0,X
146,phone,what number do i call to reach my bank,what number do i call to reach my bank,0,
147,phone,can you provide me with the phone number for my bank,what number do i call to reach my bank,0,
148,phone,could you please tell me the phone number of my bank,what's my bank's phone number,0,
149,phone,if you are still unable to find the contact information you can try visiting a local branch of your bank for assistance,what number do i call to reach my bank,0,X
150,phone,please give me the phone number of my bank,what's the phone number of my bank,0,
151,phone,i need to reach my bank what is the number,what number do i call to reach my bank,0,
152,phone,can you please provide me with my banks phone number,what's my bank's phone number,0,
153,phone,what is the customer service number for your bank,what's the phone number of my bank,0,
155,phone,my banks phone number is not working,what's my bank's phone number,0,
156,phone,please provide me with the contact information for your bank,what's the phone number of my bank,0,
157,phone,what is the phone number of my bank,what's my bank's phone number,0,
158,phone,what is the phone number for my bank,what number do i call to reach my bank,0,
160,phone,i dont have information about your banks phone number please try contacting your bank directly for assistance,what's my bank's phone number,0,X
161,phone,can you please provide me with the phone number of my bank,what's my bank's phone number,0,
163,phone,can you provide me with the phone number of my bank,what's my bank's phone number,0,
164,phone,i need to reach my bank what is their phone number,what number do i call to reach my bank,0,
165,phone,what is the phone number of your bank,what's the phone number of my bank,0,
166,phone,whats the phone number for my bank,what's my bank's phone number,0,
167,phone,please tell me the phone number of my bank,what's my bank's phone number,0,
168,phone,could you please provide me with the phone number of my bank,what's the phone number of my bank,0,X
169,phone,i have a question about my bank account can you give me the phone number to contact customer service,what number do i call to reach my bank,0,X
171,phone,my banks phone number is 1234567890,what's the phone number of my bank,0,X
172,phone,what is the customer support phone number for my bank,what number do i call to reach my bank,0,
173,phone,im sorry i cannot provide a phone number for a specific branch of your bank without knowing the name and location,what's the phone number of my bank,0,X
174,phone,what is the location of your bank,what's the phone number of my bank,0,X
175,phone,im sorry but i dont have access to your banks phone number can you please provide it to me,what's my bank's phone number,0,X
176,phone,i would like to speak to someone from my bank can you provide me with their phone number,what number do i call to reach my bank,0,X
177,phone,i am unable to reach my bank by phone,what's my bank's phone number,0,X
178,phone,im sorry i dont have access to your bank account information please contact your bank directly for assistance,what's my bank's phone number,0,X
179,phone,how can i assist you better,what's the phone number of my bank,0,X
180,phone,i need the contact details for my bank,what's my bank's phone number,0,
181,phone,can you provide me with the contact number for my bank,what number do i call to reach my bank,0,
182,phone,i need to contact my bank urgently,what's my bank's phone number,0,X
183,phone,can you please confirm your account number,what's the phone number of my bank,0,
185,phone,what is the number for my bank,what number do i call to reach my bank,0,
186,phone,whats my banks phone number,what's my bank's phone number,0,
187,phone,id like to know the phone number of my bank,what's my bank's phone number,0,
188,phone,can you provide me with the phone number of my bank,what's the phone number of my bank,0,
189,phone,what is the contact information for my bank,what's the phone number of my bank,0,
190,phone,im sorry but as an ai language model i do not have access to your personal information,what's the phone number of my bank,0,X
191,phone,what is the number to call to reach my bank,what number do i call to reach my bank,0,
192,phone,what number should i dial to reach my bank,what number do i call to reach my bank,0,
193,phone,how can i reach my banks customer service,what's my bank's phone number,0,
194,phone,to reach your banks customer service you can call the number provided on their website or app,what number do i call to reach my bank,0,X
195,phone,can you provide the contact details for my bank,what number do i call to reach my bank,0,
196,phone,i need to reach my bank can you give me their phone number,what number do i call to reach my bank,0,
197,phone,how can i help you,what's the phone number of my bank,0,X
199,phone,what is the direct line to my bank,what's the phone number of my bank,0,
200,phone,how do i reach my bank through a phone call,what number do i call to reach my bank,0,
201,phone,what phone number should i use to reach my bank,what number do i call to reach my bank,0,
202,phone,can you provide me with my banks contact information,what's my bank's phone number,0,
203,phone,may i have the phone number for your bank,what's the phone number of my bank,0,X
204,phone,can you give me the phone number of my bank,what's the phone number of my bank,0,
205,phone,what is the contact number of my bank,what's my bank's phone number,0,
206,phone,can you give me the phone number of my bank,what's my bank's phone number,0,
207,phone,what is the contact number for my bank,what number do i call to reach my bank,0,
208,phone,may i assist you with anything else,what's the phone number of my bank,0,X
