,intent,text,seeds,label,is_invalid
2,phone,can you please provide me with more information about your bank such as its name or location so that i can assist you better,what's the phone number of my bank,0,X
3,phone,can you please provide the phone number of my bank,what's the phone number of my bank,0,
16,phone,could you tell me the phone number of my bank,what's the phone number of my bank,0,X
18,phone,can you provide me with the location of your bank,what's my bank's phone number,0,
36,phone,what is the customer support number for my bank,what number do i call to reach my bank,0,
37,phone,can you confirm if you have your bank account number ready,what's the phone number of my bank,0,X
50,phone,im sorry i cannot provide a phone number for your bank as i do not have access to your personal information,what's the phone number of my bank,0,X
53,phone,how can i contact my bank,what number do i call to reach my bank,0,
72,phone,can you provide me with the phone number for my bank,what number do i call to reach my bank,0,
73,phone,can you provide me with the phone number of my bank,what's my bank's phone number,0,
89,phone,what is the customer care number for my bank,what number do i call to reach my bank,0,
125,phone,the phone number of my bank is 5551234,what's the phone number of my bank,0,X
126,phone,could you please provide me with the phone number of your bank,what number do i call to reach my bank,0,
130,phone,what is the phone number to reach my bank,what's my bank's phone number,0,
131,phone,what is the phone number for my bank,what number do i call to reach my bank,0,
139,phone,i am sorry i cannot provide the phone number of your bank as i do not have access to your personal information,what's the phone number of my bank,0,
154,phone,what is the helpline number of my bank,what's my bank's phone number,0,X
156,phone,how can i reach my bank through a phone call,what number do i call to reach my bank,0,
178,phone,could you please tell me the phone number of my bank,what's the phone number of my bank,0,
184,phone,can you provide me with the account number of your bank account,what's my bank's phone number,0,
207,phone,what are the contact details for my bank,what's my bank's phone number,0,
209,phone,what is the contact information for my bank,what's the phone number of my bank,0,
217,phone,i would like to get in touch with my bank can you provide me with their phone number,what's my bank's phone number,0,X
225,phone,what is the contact number of my bank,what's the phone number of my bank,0,
252,phone,please provide me with the phone number for my bank,what's my bank's phone number,0,
264,phone,what is the customer support phone number for my bank,what's my bank's phone number,0,
270,phone,how can i speak to a representative from my bank,what number do i call to reach my bank,0,
275,phone,im sorry i cannot answer that question without more information about your bank,what's my bank's phone number,0,X
299,phone,what is the contact number for my banks customer service,what's my bank's phone number,0,
312,phone,what is the last four digits of your social security number,what's my bank's phone number,0,X
320,phone,can you please provide the phone number of your bank,what number do i call to reach my bank,0,
330,phone,can you please provide me with the name of your bank so that i can accurately answer your question,what number do i call to reach my bank,0,
337,phone,im sorry i cannot provide you with the phone number for your bank as it is not in my database,what's the phone number of my bank,0,X
357,phone,can you please confirm if you have the correct phone number for your bank branch,what's the phone number of my bank,0,
361,phone,can you provide me with the phone number of your customer service,what's my bank's phone number,0,
367,phone,can you please tell me the phone number of my bank,what's my bank's phone number,0,
388,phone,would you please share the phone number of my bank,what's the phone number of my bank,0,
393,phone,what number should i dial to reach my bank,what number do i call to reach my bank,0,
401,phone,what is the contact number for my bank,what's the phone number of my bank,0,
424,phone,please provide me with the name of the bank,what's the phone number of my bank,0,X
432,phone,how can i reach my bank,what's my bank's phone number,0,
450,phone,may i have the phone number of my bank,what's the phone number of my bank,0,
459,phone,please tell me the phone number of my bank,what's my bank's phone number,0,
461,phone,im sorry but i cannot find the phone number of your bank,what's the phone number of my bank,0,X
473,phone,the phone number of your bank is 18001234567,what's the phone number of my bank,0,X
490,phone,what is the helpline number for my bank,what number do i call to reach my bank,0,
497,phone,im sorry i cannot provide an accurate response to your question without knowing the name of your bank,what number do i call to reach my bank,0,X
536,phone,can you please provide me with your banks name or location so that i can assist you better,what's the phone number of my bank,0,X
543,phone,im sorry i cannot provide a response without knowing the name of your bank,what's my bank's phone number,0,X
544,phone,i need the phone number of my bank,what's the phone number of my bank,0,
553,phone,what is the phone number of my bank,what's the phone number of my bank,0,
564,phone,can you please tell me the phone number for my bank,what number do i call to reach my bank,0,
588,phone,i would like to know the phone number of my bank,what's the phone number of my bank,0,
600,phone,what is the phone number for my bank,what's my bank's phone number,0,
603,phone,whats the customer support number of my bank,what's my bank's phone number,0,
613,phone,can you please provide me with the contact details of my bank,what's my bank's phone number,0,
619,phone,what is the phone number to speak with a representative from my bank,what number do i call to reach my bank,0,
621,phone,i need the phone number for my bank,what's the phone number of my bank,0,
646,phone,how can i get in touch with my bank,what number do i call to reach my bank,0,
649,phone,i need to know the contact details of my bank,what's my bank's phone number,0,
656,phone,can you please provide me with the phone number for my bank,what's the phone number of my bank,0,
663,phone,what is the best way to get in touch with my bank,what number do i call to reach my bank,0,
664,phone,can you provide me with the contact details for my bank,what number do i call to reach my bank,0,
670,phone,i need the phone number for my bank,what's my bank's phone number,0,
678,phone,what is the name of the city where you opened your account,what's my bank's phone number,0,X
688,phone,can you please give me the phone number of my bank,what's the phone number of my bank,0,
693,phone,im sorry i cannot provide a response to your question without knowing the name of your bank please provide me with the name of your bank so that i can assist you better,what number do i call to reach my bank,0,X
703,phone,could you please tell me the contact number of my bank,what's the phone number of my bank,0,
713,phone,whats the phone number of my bank,what's the phone number of my bank,0,
736,phone,what phone number can i use to contact my bank,what number do i call to reach my bank,0,
745,phone,please provide me with the contact information for my bank,what's my bank's phone number,0,
758,phone,i apologize but i am not capable of making phone calls please check your bank statement or visit your banks website for the appropriate contact information,what number do i call to reach my bank,0,X
775,phone,im sorry i cannot provide a phone number for your bank,what's the phone number of my bank,0,X
809,phone,what is the customer service number for my bank,what number do i call to reach my bank,0,
816,phone,would you kindly give me the phone number of my bank,what's the phone number of my bank,0,
828,phone,what is the direct line to my banks customer support,what number do i call to reach my bank,0,
834,phone,what is the customer service phone number for my bank,what number do i call to reach my bank,0,
835,phone,how can i reach my banks customer service,what's my bank's phone number,0,
845,phone,im sorry i still need more information about your bank to answer your question,what's my bank's phone number,0,X
859,phone,what phone number can i call to reach my bank,what number do i call to reach my bank,0,
874,phone,what is the contact information for my bank,what's my bank's phone number,0,
878,phone,what is the telephone number for my bank,what number do i call to reach my bank,0,
880,phone,please provide me with the phone number of my bank,what's the phone number of my bank,0,
889,phone,can you provide me with the phone number of your branch,what's my bank's phone number,0,
925,phone,what is the customer support number of my bank,what's my bank's phone number,0,
935,phone,what is the number for my bank,what number do i call to reach my bank,0,
944,phone,what is the phone number of my bank,what's my bank's phone number,0,
953,phone,could you please provide the phone number of my bank,what's the phone number of my bank,0,
965,phone,would you like to verify your identity before i provide you with the phone number,what's the phone number of my bank,0,X
997,phone,how can i connect with my bank through a phone call,what number do i call to reach my bank,0,
1014,phone,i would like to know the phone number of my bank,what's my bank's phone number,0,
1024,phone,could you please provide me with the phone number of my bank,what's my bank's phone number,0,
1070,phone,please let me know the phone number of my bank,what's the phone number of my bank,0,
1078,phone,how do i contact my bank,what number do i call to reach my bank,0,
1081,phone,im sorry i cannot provide you with the phone number for your bank without additional information,what's the phone number of my bank,0,X
1083,phone,what phone number should i dial to reach my bank,what number do i call to reach my bank,0,
1095,phone,im sorry but i cannot answer that question as i do not have access to your personal information,what's the phone number of my bank,0,X
1098,phone,may i know the phone number of my bank,what's the phone number of my bank,0,
1102,phone,what is the helpline phone number for my bank,what number do i call to reach my bank,0,
1121,phone,can you please provide me with the phone number of my bank,what's the phone number of my bank,0,
1124,phone,im sorry i am an ai language model and do not have access to your personal information however you can try calling the number listed on your bank statement or checking the website of your bank for the appropriate contact information,what number do i call to reach my bank,0,X
1128,phone,what is my banks phone number,what's my bank's phone number,0,
1164,phone,i would like to know the contact information of my bank,what's my bank's phone number,0,
1172,phone,how do i reach my bank,what number do i call to reach my bank,0,
1181,phone,what is the name of your bank,what number do i call to reach my bank,0,
1193,phone,please provide me with the name of the bank you are referring to,what's the phone number of my bank,0,X
1238,phone,how can i reach my banks customer support,what's my bank's phone number,0,
1243,phone,which number should i call to reach my bank,what number do i call to reach my bank,0,
1248,phone,what is your account number,what's my bank's phone number,0,X
1251,phone,can you tell me the phone number of my bank,what's the phone number of my bank,0,
1307,phone,may i know which bank you are referring to,what number do i call to reach my bank,0,X
1319,phone,can you provide the contact number for my bank,what's my bank's phone number,0,
1321,phone,could you please share the location of your bank branch,what's the phone number of my bank,0,X
1323,phone,which bank do you have a question about,what number do i call to reach my bank,0,X
1348,phone,what is the phone number to speak with a live person at my bank,what number do i call to reach my bank,0,
1359,phone,can you confirm the date of your last deposit,what's my bank's phone number,0,X
1372,phone,can you please provide me with your banks name,what's my bank's phone number,0,
1374,phone,what is the telephone number of my bank,what's my bank's phone number,0,
1378,phone,im sorry i cannot answer your question without knowing the name of the bank,what's the phone number of my bank,0,X
1400,phone,can you provide me with the contact information for my bank,what's my bank's phone number,0,
1404,phone,can you provide me with the telephone number for my bank,what number do i call to reach my bank,0,
1414,phone,im sorry i dont have the phone number for your bank,what's my bank's phone number,0,X
1422,phone,how do i contact my bank by phone,what number do i call to reach my bank,0,
1437,phone,what number do i call to reach my bank,what number do i call to reach my bank,0,
1487,phone,can you provide the name of the bank you are referring to,what's the phone number of my bank,0,X
1489,phone,how can i reach my bank by phone,what number do i call to reach my bank,0,
1513,phone,im sorry but i do not have access to your banks phone number,what's the phone number of my bank,0,X
1519,phone,what is your banks name,what's my bank's phone number,0,X
1537,phone,im not programmed to access or store bank account details,what's the phone number of my bank,0,X
1548,phone,please provide me with the name of your bank,what's the phone number of my bank,0,X
1552,phone,what are the digits of my banks phone number,what's my bank's phone number,0,
1553,phone,please give me the phone number for my bank,what's my bank's phone number,0,
1584,phone,could you please give me the phone number of my bank,what's my bank's phone number,0,
1593,phone,kindly share the phone number of your bank,what number do i call to reach my bank,0,
1610,phone,i am an ai language model and do not have access to your personal information please try contacting your bank directly for assistance,what's the phone number of my bank,0,X
1617,phone,i am not sure about the phone number of your bank,what's the phone number of my bank,0,X
1619,phone,would you mind telling me the phone number of my bank,what's the phone number of my bank,0,
1621,phone,could you please provide me with my banks phone number,what's my bank's phone number,0,
1646,phone,please provide me with your banks phone number,what's my bank's phone number,0,X
1648,phone,im sorry but i dont have access to your banks phone number could you please provide it to me,what's my bank's phone number,0,X
1655,phone,can you please tell me my banks phone number,what's my bank's phone number,0,
1662,phone,im sorry i dont have access to your bank account information,what's the phone number of my bank,0,X
1664,phone,have you tried checking the website or mobile app for contact information,what number do i call to reach my bank,0,X
1673,phone,do you have any other questions or concerns about your bank account,what number do i call to reach my bank,0,X
1686,phone,i am sorry i do not have access to your bank account information please contact your bank directly for assistance,what's my bank's phone number,0,X
1690,phone,i apologize but as an ai language model i do not have access to your personal information such as your banks phone number,what's the phone number of my bank,0,X
1714,phone,which department of the bank do you want to reach,what number do i call to reach my bank,0,X
1715,phone,im sorry i cannot provide you with the phone number for your bank as i am an ai language model and do not have access to personal information,what's my bank's phone number,0,X
1719,phone,can you tell me the name of your bank,what's the phone number of my bank,0,X
1731,phone,can you please provide me with the phone number of your bank,what number do i call to reach my bank,0,
1741,phone,im sorry but i cannot provide specific phone numbers for banks as they vary by region and location please check your banks website or contact their customer support for assistance,what's the phone number of my bank,0,X
1743,phone,can you please let me know the name of your bank,what's the phone number of my bank,0,
1745,phone,whats the phone number for my bank,what's my bank's phone number,0,
1765,phone,can you provide the phone number of my bank,what's the phone number of my bank,0,
1775,phone,do you have your account number handy,what number do i call to reach my bank,0,X
1776,phone,i am trying to reach my banks customer service but i dont have their phone number,what's the phone number of my bank,0,
1780,phone,what are the customer support options for my bank,what number do i call to reach my bank,0,X
1800,phone,can you inform me of my banks phone number,what's my bank's phone number,0,
1804,phone,i need to reach my bank for an urgent matter what should i do,what's the phone number of my bank,0,
1816,phone,which number do i need to call to reach my bank,what number do i call to reach my bank,0,
1820,phone,what is the phone number to reach my bank,what number do i call to reach my bank,0,
1856,phone,can you provide me with the phone number of your bank branch,what's my bank's phone number,0,
1860,phone,can you give me the phone number of my bank,what's the phone number of my bank,0,
