intent,text,no_taboo_words
payday,"""At what point did I collect my earnings the previous time?""",True
directions,Can you provide me with guidance on how to reach Phoenix?,True
pto_balance,May I know the number of unused days off I still have?,True
meal_suggestion,What are some popular food options that originated in Asian countries that you would recommend?,True
pay_bill,I need to cover the charges for my automobile on time.,True
ingredients_list,What do I need to procure in order to cook a serving of spaghetti?,True
change_language,It is imperative that we communicate using the English tongue.,True
nutrition_info,What is the breakdown of components in a serving of apple sauce?,True
gas_type,What type of substance powers my automobile?,True
nutrition_info,What are the nutrient components available in a single cup of milk?,True
pay_bill,Could you provide me with some support to clear my gas expenses?,True
taxes,How much money do I have to give back to the authorities?,True
gas_type,In what manner does your vehicle derive its power?,True
calories,May I ask if you can investigate the dietary information of a sandwich consisting of poultry?,True
pto_balance,Can you tell me how much time I can take off from work?,True
recipe,What is the procedure for making an omelet?,True
tire_change,When is the appropriate time to replace my vehicle's worn out rubber?,True
text,Give Jack a shout via written communication.,True
pto_balance,How many remaining days off do I have?,True
recipe,Can you suggest a method for preparing roasted vegetables?,True
accept_reservations,Is there any insight on whether Taco Bell accepts advanced orders for seating arrangements?,True
who_do_you_work_for,Do you follow the directions of anyone other than yourself?,True
how_old_are_you,What is the timeline of your production process?,True
bill_balance,Can you tell me how much I will have to pay for my car installment and insurance?,True
weather,I'm curious about the climate status at this moment; can you tell me?,True
food_last,What is the maximum duration that milk can last without spoiling?,True
report_fraud,There has been some suspicious activity on my Bank of the West card that needs to be reported.,True
gas,Can you gauge the amount of content left inside my car's container?,True
lost_luggage,"""I have a feeling my things have been lost or misplaced.""",True
pto_balance,What is the remaining count of my personal leave days?,True
pin_change,I can't seem to remember the numeric code to my card.,True
mpg,How many miles does my car travel using a gallon of gas?,True
gas,Would my vehicle make it to Atlantic City without refueling?,True
traffic,"How congested is the journey to Newark, NJ from Philadelphia via I-95 during mid-day?",True
carry_on,What is the maximum number of items allowed to be brought on an American Airlines flight bound for Japan?,True
gas_type,What kind of energy source does this vehicle require?,True
repeat,Could you please restate the inquiry?,True
transactions,How much did I spend on my last visit to Target?,True
change_accent,Adjust the vocal delivery to reflect femininity.,True
next_holiday,What is the upcoming day of leisure?,True
how_old_are_you,Curiosity begs me to inquire about the number of annual rings you possess.,True
