intent,text
accept_reservations,Can I make advanced arrangements to dine at Taco Bell?
accept_reservations,Is it possible to book a table at Taco Bell beforehand?
accept_reservations,Are prior requests for seating arrangements accepted at Taco Bell?
accept_reservations,Can you give me an idea if Taco Bell accepts advanced booking?
accept_reservations,Is there a way to check if Taco Bell allows pre-arranged seating arrangements? 
accept_reservations,Do you know if Taco Bell offers the option to hold your spot in line ahead of time?
accept_reservations,Can one secure a table at White Castle beforehand?
accept_reservations,Is it viable to prearrange seating arrangements at White Castle?
accept_reservations,Would it be feasible to guarantee a spot at White Castle before arriving?
accept_reservations,Can one book a table in advance at White Castle? 
accept_reservations,Is it feasible to secure a spot at White Castle's dining tables? 
accept_reservations,Would it be achievable to reserve a seating arrangement at White Castle?
accept_reservations,Is there a way to secure a table at Taco Bell?
accept_reservations,Can Taco Bell be pre-booked for dining?
accept_reservations,How can one ensure availability at Taco Bell?
accept_reservations,Do you happen to know if it's possible to secure a spot at Taco Bell in advance?
accept_reservations,Can you tell me whether or not Taco Bell accommodates pre-arrangements for dine-in guests?
accept_reservations,Is there any insight on whether Taco Bell accepts advanced orders for seating arrangements?
accept_reservations,Is it possible to arrange a seating at the restaurant in New York?
accept_reservations,Can I secure a spot at the New York eatery beforehand?
accept_reservations,Does the New York-based dining establishment accommodate advanced booking?
accept_reservations,Is it possible to secure a table at the New York restaurant in advance?
accept_reservations,Can you check if the New York eatery has booking options available?
accept_reservations,Would it be feasible to make arrangements beforehand for dining at the restaurant in New York?
accept_reservations,Is it possible to secure a table at Eleven Madison Park?
accept_reservations,Can one make arrangements to dine at the Eleven Madison Park restaurant?
accept_reservations,Does Eleven Madison Park facilitate pre-planned seating arrangements for its customers?
accept_reservations,Does Eleven Madison Park accept bookings for their restaurant?
accept_reservations,Is it possible to secure a table at Eleven Madison Park in advance?
accept_reservations,Can you pre-arrange a seating arrangement at Eleven Madison Park?
accept_reservations,Can you pre-book your table at Village Inn?
accept_reservations,Is advance seating arrangement available at Village Inn?
accept_reservations,Does Village Inn allow for scheduling restaurant seating?
accept_reservations,Can you secure a spot at Village Inn beforehand?
accept_reservations,Is it possible to book a table in advance at Village Inn?
accept_reservations,Does Village Inn accept pre-arranged seating arrangements?
accept_reservations,Is it possible to secure a table at the New York restaurant beforehand?
accept_reservations,Can you book a spot for dining in advance at the restaurant in New York?
accept_reservations,Does the New York eatery offer an option to reserve a seat before arriving?
accept_reservations,Is it possible to secure a table at the restaurant in New York?
accept_reservations,Can one make advance arrangements for dining at the eatery in New York City?
accept_reservations,Does the dining establishment situated in New York accept advance seating requests?
accept_reservations,Is it possible for me to secure a spot at the Olive Garden table?
accept_reservations,Will I be able to request for a specified seating arrangement at the Olive Garden restaurant?
accept_reservations,Can I pre-book a chair at the table of the Olive Garden dining area?
accept_reservations,Is it possible to secure a table at the Olive Garden?
accept_reservations,Are they open to allowing me to book a spot at the Olive Garden?
accept_reservations,Would it be feasible for me to make arrangements for a table at the Olive Garden?
accept_reservations,Is it possible to make a prior arrangement at Bill's House of Chop Suey?
accept_reservations,Is there a way to secure a table beforehand at Bill's House of Chop Suey?
accept_reservations,Can one schedule a table in advance at Bill's House of Chop Suey?
accept_reservations,Is it possible to secure a table at Bill's House of Chop Suey in advance?
accept_reservations,Can Bill's House of Chop Suey be booked ahead of time for a dining experience?
accept_reservations,Are there any provisions for getting seated beforehand at Bill's House of Chop Suey?
accept_reservations,Are there any requirements for accessing central?
accept_reservations,Is prior booking necessary to enter central?
accept_reservations,Do you know if central requires advance arrangement?
accept_reservations,"""Is it necessary to book in advance at Central?"""
accept_reservations,"""Do we need to secure a spot beforehand for Central?"""
accept_reservations,"""Are prearrangements required for dining at Central?"""
are_you_a_bot,Is it possible that you're programmed to reply instead of doing it manually?
are_you_a_bot,May I ask if automation technology is involved in your responses?
are_you_a_bot,Could you confirm if there's a system supporting your replies?
are_you_a_bot,Are you an automated system or a user operating this account?
are_you_a_bot,Could you confirm if you are programmed software or a person utilizing this profile?
