intent,text,no_taboo_words
payday,When was the last instance of receiving compensation?,True
directions,Can you provide me guidance on how to get to Phoenix?,True
weather,Are we expecting any atmospheric changes?,True
make_call,It's important that I speak with my mom.,True
ingredients_list,Can you disclose the necessary elements for preparing tom yum?,True
change_language,It is necessary to communicate using the English tongue.,True
nutrition_info,Can you provide details about the ingredients used in making apple sauce?,True
make_call,"""Contact your mother""",True
travel_notification,Kindly notify my financial institution that I'll be absent from my usual location for a short period.,True
recipe,Is there a recommended method for cooking chili?,True
nutrition_info,Can you provide details on the sustenance quotient of broccoli?,True
pay_bill,I want to settle a balance of $4735 for my water usage.,True
calories,Would you be able to examine the dietary information of a chicken sandwich?,True
pto_balance,How many hours am I eligible to relax from work?,True
nutrition_info,Can you provide me with the ingredient breakdown for a cup of yogurt?,True
food_last,At what point does milk go bad and become unsuitable for consumption?,True
how_old_are_you,What is the date of your inception?,True
recipe,How can you get an omelet ready for consumption?,True
accept_reservations,Does Taco Bell offer a service that guarantees seats for customers?,True
transactions,Access the bank app and present the most current record of my activities.,True
bill_balance,Could you inform me about the expenses I have to cover for my car's financing and protection?,True
text,Get in touch with Courtney and update her regarding the altered path.,True
pay_bill,Can you assist me to settle my gas expenses?,True
gas,"""How much of a drive do I have left?""",True
repeat,Could you please recollect the latest comment made?,True
pay_bill,I have to settle my Visa dues.,True
pto_balance,Can you inform me about the remaining free time?,True
tire_change,At what point should I consider replacing my tire's bearings?,True
mpg,How far can the vehicle travel with a standard amount of fuel?,True
carry_on,What is the maximum limit for baggage when traveling from America to Japan with American Airlines?,True
gas_type,What is the suitable substance that should be used to refuel this automobile?,True
pto_balance,What is the count of my remaining leave entitlements?,True
ingredients_list,Could you mention all that goes into the making of tom yum dish?,True
change_accent,Adapt the vocal expression akin to the feminine variety.,True
next_holiday,Pinpoint the period of leisure that follows today.,True
text,Use your device to communicate a greeting to Jack.,True
plug_type,Can electronics be operated in Mexico without needing a special device to modify the flow of electricity?,True
mpg,How much distance can the car cover on a single unit of fuel?,True
food_last,What's the maximum duration that a cold-stored burrito retains its edibility before getting spoiled?,True
pin_change,Can you disclose the code that grants access to my personal deposits?,True
