intent,text,no_taboo_words
payday,On which day did I take delivery of my compensation previously?,True
directions,Can you point me in the way of Phoenix?,True
plug_type,Is it necessary to have an alternate power attachment option while visiting France?,True
weather,Can you tell me about the sky's appearance at this moment?,True
ingredients_list,How do I go about assembling tom yum without indicating the precise elements?,True
change_language,It is imperative that we communicate using the English dialect.,True
nutrition_info,Can you provide details about the constituents present in apple sauce?,True
make_call,Establish a communication with mother.,True
travel_notification,Kindly update my financial institution about my upcoming trip to the Bahamas in the next few days.,True
recipe,I'm looking for suggestions on preparing delicious chili. ,True
nutrition_info,What are the dietary details of broccoli?,True
calories,Can you determine the healthiness level of a chicken sandwich?,True
pto_balance,"""How long of a leave am I entitled to take from my job?""",True
nutrition_info,Can you provide the dietary breakdown for a serving of plain yogurt? ,True
tire_change,How can I tell if it's time to upgrade my old footwear for my car?,True
food_last,Is there a specific timeframe that one should adhere to when utilizing milk?,True
how_old_are_you,What was the time of your genesis?,True
recipe,Any suggestions for creating a delicious omelet?,True
accept_reservations,Would it be viable to make pre-arrangements before going to Taco Bell?,True
next_holiday,How long before we get a respite from work again?,True
transactions,Allow me to view the latest record of my money-related operations using the open bank application.,True
bill_balance,Can you provide me with the cost of my car payment and insurance?,True
text,Advise Courtney through cellphone regarding the deviation.,True
pay_bill,Assist in covering my gas expenses.,True
gas,How much mileage can I travel with my vehicle at present?,True
repeat,"I didn't fully grasp your previous words, can you restate the last part?",True
pay_bill,What should I do to settle my visa?,True
pto_balance,"""How many times can I still take a break from work?""",True
pto_balance,What's the total tally of my unused leave duration?,True
tire_change,When should I be concerned about the traction on my vehicle?,True
carry_on,What is the maximum number of items that can be brought onto a plane when flying with American Airlines to Japan?,True
gas_type,Could you enlighten me about the suitable source of energy that this vehicle demands while undergoing a refill procedure?,True
ingredients_list,Please share the items required when preparing tom yum dish.,True
change_accent,Modify the vocal expression associated with a particular demographic.,True
next_holiday,Identify the following celebratory time?,True
text,Drop a greeting to Jack!,True
plug_type,Can I utilize my electronic accessories when I travel to Mexico without requiring any modifications?,True
mpg,"In terms of energy usage, how does the car perform?",True
food_last,or how much time can a burrito reside inside the cold storage before losing its quality?,True
pin_change,Can you give me the code to access my checking balance?,True
accept_reservations,What is the process for guaranteeing a spot at the New York eatery? ,True
pto_request_status,May I know if my absence during that period has been confirmed?,True
pin_change,Is there a way to prevent unauthorized access to the hub of my monetary transactions?,True
food_last,What is the shelf life of honey?,True
change_accent,My preference is for the sound produced by the feminine gender moving forward.,True
tire_change,At what point do I need to undergo maintenance concerning my vehicle's wheels?,True
change_language,"Is the use of the Spanish vernacular permissible when conversing with you, amigo?",True
nutrition_info,Could you provide details regarding the makeup and content of apple puree?,True
taxes,Can you provide me with the aggregate value taken out of my salary for public funds?,True
payday,When was the most recent document for my earnings made?,True
next_holiday,What's the upcoming celebration and its date?,True
pay_bill,I will require aid to manage my lodging dues.,True
thank_you,Myriads of acknowledgements.,True
whisper_mode,Initiate the low-volume method.,True
traffic,"What could be the potential delays on my journey from Philadelphia to Newark, New Jersey?",True
transactions,Can you provide me with details regarding the activity in my account?,True
whisper_mode,Deactivate the low tone condition.,True
pto_request_status,Do you have any information on the outcome of the day-off inquiry?,True
change_accent,I am interested in the auditory manifestation of femininity.,True
gas,How much mileage can I cover with my existing petrol?,True
are_you_a_bot,Is your life form similar to those of homo sapiens?,True
mpg,What is the distance that can be covered by my vehicle with a specific quantity of fuel?,True
mpg,How far can this car go on a single tank of gas when driving through the city?,True
payday,Could you inform me about the timeline for earning collection?,True
how_old_are_you,I'm interested in finding out the time since your birth.,True
pto_request_status,Can I know the latest news about my break?,True
weather,Could you provide information about the elements surrounding us? ,True
travel_notification,"I'd like to make known to my banking establishment the dates of my journey to Peru (February 19-26), can this be arranged? ",True
text,Get in touch with Courtney and let her know about the alternate route.,True
how_old_are_you,What is the duration of time that must elapse for your presence on this planet to reach full orbit?,True
accept_reservations,Can arrangements be made beforehand to ensure a spot at Bill's House of Chop Suey?,True
transactions,Can you remind me of the moment I acquired an item?,True
min_payment,hat are the compulsory dues on my Verizon account that I have to settle?,True
distance,What direction should we head towards and what's the estimated duration to arrive at the Sears Tower in Chicago?,True
are_you_a_bot,Would you enlighten me on whether you have automated or manual operation?,True
repeat,Can you please reiterate what was mentioned?,True
lost_luggage,"""My stuff seems to be nowhere to be found at the moment.""",True
carry_on,What is the number of bags I can board with American Airlines while traveling to Japan?,True
meal_suggestion,Is there an Indian cuisine that you could endorse?,True
plug_type,What is the procedure for connecting electronic equipment in France?,True
tire_change,How often must I attend to the upkeep of the circular components on my automobile?,True
payday,On which day can I expect to receive my compensation for the work?,True
nutrition_info,What are the benefits of consuming blueberries?,True
accept_reservations,Would it be feasible for me to book a seating at the Olive Garden?,True
report_fraud,It seems that Guitar Center didn't offer me satisfactory service based on what's on my account. ,True
accept_reservations,Can you give me any insights if one must fulfill certain conditions to gain entry to Central?,True
thank_you,I'm grateful for the insightful feedback received.,True
accept_reservations,Would it be conceivable to secure a spot for dining in at White Castle?,True
mpg,What is the distance your vehicle can travel per unit of fuel?,True
distance,How many miles away is Orlando from where I am right now? ,True
traffic,Is the passage subject to heavy automobile movement?,True
are_you_a_bot,Do you genuinely exist?,True
bill_balance,What is the expense associated with my water and electricity consumption? ,True
pin_change,Can you tell me how to alter the identification on my personal banking record?,True
nutrition_info,Explain the components present in fish that helps you maintain a balanced diet.,True
payday,Can you tell me the duration after which I expect to receive payment?,True
ingredients_list,Can you provide a list of components necessary to prepare tom yum?,True
carry_on,Is there a maximum quantity of hand-carried bags that I can bring along?,True
food_last,How much time can pass before honey becomes unfit for consumption?,True
how_old_are_you,Can you share with me your approximate duration of existence on this planet?,True
whisper_mode,Shut down the low-volume setting.,True
directions,How can I arrive at the subway using my own legs?,True
min_payment,What is the smallest amount required for me to settle my heating expenses?,True
directions,Do you have any idea about the hospital which is easily accessible from my current location?,True
are_you_a_bot,Can you confirm your existence?,True
how_old_are_you,Which number will be added to your life’s calendar on the special day this year?,True
nutrition_info,I require knowledge about the ingredients published on the packaging of the ramen.,True
food_last,At what point does honey lose its freshness?,True
bill_balance,What is the total amount required for payment this month?,True
next_holiday,Can you inform me of the upcoming event?,True
change_accent,Modify the tone to that of a woman.,True
taxes,Is there an estimation for the funding I'm required to provide for my jurisdiction?,True
recipe,Can you suggest a method for preparing pasta?,True
change_language,The use of the English tongue is necessary to convey our message.,True
mpg,"n terms of gas consumption, how would you describe the efficiency of the vehicle?",True
how_old_are_you,What was the number of times you celebrated your birthday before today?,True
report_fraud,The things appearing on my online invoice from Penney's are not those which I have purchased.,True
calories,Is it possible to verify the nutritional value of a chicken sandwich?,True
text,Inform Samantha about my estimated arrival time in 10 minutes.,True
tire_change,How can I determine when it's time to swap my wheels?,True
directions,Can you tell me which fueling point is easy to spot around Glendale? ,True
food_last,an you specify the span within which a frozen burrito is edible?,True
pto_balance,"""What is the time period for which I can take a break from work?""",True
nutrition_info,What are the different components that make up fish?,True
next_holiday,What is the upcoming merry occasion to be conducted here?,True
change_accent,Can you employ the gentleman's tone?,True
directions,Is there a way to walk down to the subway station?,True
text,Inform Jim that I will be returning home shortly.,True
travel_notification,"My stay in Mexico will last from Thursday through Friday, could you convey this message to my bank?",True
thank_you,Your aid has made a significant impact.,True
meal_suggestion,Can you recommend a dish that's commonly found in Asian cuisine?,True
nutrition_info,I need to know the specifics regarding the dietary value of cheese fries.,True
nutrition_info,May I have access to the breakdown of the nutrients present in the ramen product?,True
who_do_you_work_for,What entity do you operate under?,True
pay_bill,Assistance is required for covering the renting expenses.,True
pay_bill,I need financial assistance for my water expenses.,True
taxes,Are you familiar with the amount demanded by authorities in lieu of revenue generated by me?,True
pto_balance,When will my leisure time come to an end?,True
thank_you,"The response proved to be enriching and beneficial, I am obliged.",True
gas_type,In what manner must I charge up this cutting-edge transportation device?,True
next_holiday,Which forthcoming event should we be preparing ourselves for?,True
change_language,"May I converse with you using the Spanish language, compadre?",True
change_accent,Would it be feasible to alter the vocal pitch?,True
change_accent,Can you alter the vocal quality to portray a different gender?,True
distance,Can you inform me when the airport expects my presence?,True
how_old_are_you,On what occasion will you add another milestone in your life?,True
nutrition_info,"I need to know about the nourishment inside bell peppers, can you help me with that?",True
calories,How much nutritional intake do chicken nuggets provide?,True
report_fraud,"""This fee is ridiculous.""",True
plug_type,Is there a method to link gadgets to the power source in France?,True
repeat,"Could you phrase it differently, please?",True
food_last,When does milk reach its limit?,True
thank_you,It's good to hear from you in regards to the matter at hand.,True
nutrition_info,What are the details concerning the nourishing components of one cup of yogurt? ,True
transactions,What are the details of the electronic expenditures I made this morning past 6 am?,True
pto_balance,What is my quota for taking time off from work?,True
travel_notification,Looking for ways to notify the money organization regarding my whereabouts in between 23rd-25th of February when I visit Australia.,True
nutrition_info,How does consuming fish contribute to a balanced diet?,True
recipe,What's your method for preparing veggies with an oven?,True
plug_type,Is there a way to access electricity in Costa Rica with my devices?,True
text,Would you please communicate to Mary that she is absolutely amazing?,True
weather,Are we facing any changes in our surroundings today?,True
food_last,For what duration is it suitable to store milk without it becoming undrinkable?,True
ingredients_list,What is required to produce a flavorful lasagna recipe?,True
pay_bill,The expenses for my electrical service must be covered.,True
whisper_mode,Engage the low-toned setting.,True
directions,Any gas station situated near the vicinity of Glendale?,True
report_fraud,"""It appears that there might be an unexpected debit on my account attributed to McDonald's.""",True
food_last,In what period can tofu be retained without losing its quality when subjected to cold temperatures?,True
weather,Is there any update on the climatic state of affairs in Austin?,True
transactions,Could you let me know the list of electronics bought by me after 6am in the morning?,True
report_fraud,I have noticed certain items on my online bill that were not bought by me from Penney's.,True
change_language,"Is it fine to communicate with you using Spanish, amigo?",True
text,Will you kindly let Mary know how incredible she is?,True
pin_change,What is the identification required for me to complete my transaction?,True
who_do_you_work_for,To whom do you answer in your professional setting?,True
transactions,The amount I used up for my newest spending?,True
