intent,text
accept_reservations,Is it possible to secure a table at Taco Bell in advance?
accept_reservations,How does one ensure a spot to dine at Taco Bell?
accept_reservations,Is there a way to guarantee seating at Taco Bell beforehand?
accept_reservations,Is it possible to book a table at Taco Bell in advance?
accept_reservations,Can one make pre-arrangements for seating at Taco Bell?
accept_reservations,What is the process for securing a spot at Taco Bell before arriving?
accept_reservations,Would it be conceivable to secure a spot for dining in at White Castle?
accept_reservations,Is there an option to hold a table for eating at White Castle?
accept_reservations,What are the chances of grabbing a table for a meal at White Castle?
accept_reservations,"""Is White Castle open to table bookings in advance?"""
accept_reservations,"""Would it be feasible to secure a spot for dining at White Castle beforehand?"""
accept_reservations,"""Does White Castle facilitate pre-arrangements for occupying a table?"""
accept_reservations,Is it possible to secure a spot at Taco Bell in advance?
accept_reservations,What's the process to book a table beforehand at Taco Bell?
accept_reservations,Can we make an appointment to dine at Taco Bell?
accept_reservations,Do you know if Taco Bell welcomes advanced bookings?
accept_reservations,Is it possible to arrange beforehand for a visit at Taco Bell?
accept_reservations,Would it be viable to make pre-arrangements before going to Taco Bell?
accept_reservations,Is it possible to secure a seating arrangement at the New York eatery?
accept_reservations,How can one guarantee a table at the restaurant in New York?
accept_reservations,What procedure should one follow to book a spot at the dining establishment in New York?
accept_reservations,May I inquire about the possibility of securing a spot at the New York restaurant?
accept_reservations,Is it possible for me to secure a table in advance at the New York eatery?
accept_reservations,Can you tell me if the New York dining establishment offers advance seat booking?
accept_reservations,Is it possible to secure a table at Eleven Madison Park?
accept_reservations,Does Eleven Madison Park allow one to make dining arrangements in advance?
accept_reservations,Can someone plan ahead for a meal at Eleven Madison Park without having to wait?
accept_reservations,Is it possible to secure a spot at Eleven Madison Park?
accept_reservations,Does Eleven Madison Park permit individuals to book a table?
accept_reservations,What is the process for obtaining a reservation at Eleven Madison Park?
accept_reservations,Is it possible to schedule a table at Village Inn?
accept_reservations,Are visitors allowed to pre-arrange a spot at the Village Inn restaurant? 
accept_reservations,Would Village Inn accommodate a request for a specific dining time-slot?
accept_reservations,Is it possible to secure a spot at Village Inn before going?
