intent,text,no_taboo_words
play_music,"Initiate compilation rendition, starting off with the initial melody.",True
qa_currency,How much does one yen equate to when dealing with financial transactions?,True
transport_traffic,How does the pathway appear at this moment in time?,True
play_music,Do you have any music that exudes a funky vibe?,True
news_query,Can you provide me with any information regarding Donald Trump's recent activities?,True
qa_currency,How much does a Japanese yen cost in comparison to an American dollar?,True
music_query,In what kind of genre do I indulge in more when it comes to songs?,True
datetime_query,What is the current moment in the Windy City?,True
audio_volume_up,Can you turn the sound to a higher level?,True
weather_query,Can you describe the atmosphere of Barcelona for the upcoming couple of days?,True
weather_query,May you provide insight into what nature has in store for us tomorrow?,True
cooking_recipe,Can you display the procedure to make cookies? ,True
transport_traffic,Is there any obstacle in the way of reaching your workplace?,True
news_query,Any developments regarding Trump's travel regulations?,True
news_query,Is there any recent development related to Donald Trump that I should be aware of?,True
audio_volume_up,Enhance the left speaker's audio level by ten.,True
play_music,Is it possible to enjoy some specific songs?,True
play_music,How about we fill the air with some funky beats?,True
transport_traffic,Can you provide an update on travel flow for Route 101?,True
cooking_recipe,Share with me the steps involved in making a cookie.,True
transport_traffic,What was the state of vehicular movement at present?,True
weather_query,Do I need to anticipate clearing a route from my residence?,True
audio_volume_down,Could we turn the noise knob halfway to the left?,True
transport_traffic,What's the average time required to reach your workplace?,True
play_music,How can I have the Titanic theme song played?,True
cooking_recipe,"Would it be possible for you to furnish me with a record of all the elements necessary to make Welsh Rarebit, robot?",True
news_query,What are the latest happenings for today? ,True
news_query,Can you provide any information on the progress of the Sweden bombing investigation?,True
play_music,What is the method to request for the song from Titanic's opening scene?,True
weather_query,Are there any chances of experiencing a wet environment today?,True
audio_volume_up,Could you enhance the sound a bit?,True
audio_volume_down,Modulate the sound wave amplitude to a more tolerable state.,True
audio_volume_down,Diminish the loudness to half of its current rate.,True
datetime_query,Could you disclose to me the state of the hour indicators?,True
play_music,What musician should I set to be performed next?,True
music_query,What are my preferred musical tastes?,True
play_music,Set in motion the list of melodies from the very first piece to play.,True
weather_query,What does Barcelona hold in store for us after 48 hours?,True
news_query,Has the budget been officially approved?,True
qa_currency,What is the comparative value of US dollars and Japanese yen?,True
audio_volume_up,"Will you make the sound louder, please?",True
cooking_recipe,What do I need to do to make that food?,True
weather_query,Is it advisable for me to carry my shades with me today?,True
audio_volume_down,"I find the audio quite loud, would it be possible to adjust it?",True
play_music,Can you help me find and enjoy the latest tunes from Bob Dylan?,True
cooking_recipe,Can you share some tips on preparing food?,True
play_music,Can you please stream music from Titanic?,True
play_music,My happiness shall multiply if there's a tune by Cat Stevens to feast upon.,True
audio_volume_up,Can you please augment the sound amplification?,True
cooking_recipe,Search for techniques on how to make an egg dish filled with four distinct cheese tastes.,True
transport_traffic,Is there any news regarding my regular transportation?,True
music_query,Can you indicate the track that's presently audible?,True
music_query,Is there a track being played at the moment that you can detect?,True
audio_volume_up,Can you make the sound louder?,True
datetime_query,Can you provide me with the moment?,True
qa_currency,"If I have Indian rupees and want to trade them for American dollars, how much money do I need?",True
transport_traffic,How congested is the interstate?,True
transport_traffic,"""What is the level of congestion I may encounter during my morning commute?""",True
news_query,Can you provide information on the most recent update regarding Trump's travel ban?,True
news_query,"""Could you inform me about the current happenings of relevance around here?""",True
music_query,What is the name of the recording that's currently being played?,True
cooking_recipe,Could you guide me through the process of preparing a delicious cookie dish?,True
qa_currency,Can you give me the value of one Japanese yen compared to other currencies?,True
music_query,Can you kindly send the words of the melody to my inbox?,True
weather_query,Should we expect some drops of water from above throughout the day?,True
qa_currency,Can you give me a benchmark for yen valuation?,True
transport_traffic,What description do you have concerning the current movement of automobiles?,True
audio_volume_down,Turn the sound knob halfway to reach a moderate level.,True
play_music,"Could you make sure that the track ""Let Me Love You"" by Ariana Grande is on?",True
qa_currency,The equivalence of a pound in dollars would be what?,True
