intent,text,no_taboo_words
play_music,"Trigger the sequence of musical pieces, beginning with the first track.",True
qa_currency,How many bucks can I get for every unit of Japan's currency?,True
transport_traffic,How easy it is to get around in your vehicle?,True
play_music,Any suggestions for music in the rhythm and blues category that evokes an upbeat mood?,True
news_query,Can you provide me with updates regarding Donald Trump?,True
cooking_recipe,What should be the precise degree of hotness while frying an intact turkey?,True
qa_currency,How much does a Japanese yen cost compared to one US dollar?,True
music_query,Which musical family do I have a penchant for?,True
datetime_query,What is the current hour of Chicago?,True
audio_volume_up,Can you make the sound more audible?,True
weather_query,What can I expect with regards to the climate if I travel to Barcelona two days hence? ,True
weather_query,Is there any way that you can give me an idea of the environment we should anticipate for tomorrow?,True
cooking_recipe,Can you give me the steps to prepare yummy cookies?,True
transport_traffic,Is there any hindrance towards reaching your workplace on time?,True
news_query,Could you provide an update on the progress of Trump's travel ban?,True
news_query,What updates do you have regarding Donald Trump that I should be aware of?,True
audio_volume_up,Adjust the left speaker's sound level to ten times its current output.,True
play_music,Could you take action to commence the melodies contained in my listing of songs?,True
play_music,Blast those groovy beats.,True
transport_traffic,Is the one hundred and one moving smoothly or packed with automobiles?,True
cooking_recipe,I'm looking for instructions on how to make a sweet treat that involves flour and sugar.,True
transport_traffic,"""How was the movement of vehicles at the moment?""",True
weather_query,Do I need to make arrangements to remove the obstruction from the door of my dwelling?,True
audio_volume_down,Make the sound come out of the speakers with a diminished intensity equal to one-half of its initial loudness.,True
transport_traffic,What's the required travel time to reach your workplace?,True
play_music,Could you start the Titanic movie soundtrack theme?,True
cooking_recipe,"Would it be feasible for you, mechanical entity, to give me an inventory of the elements necessary to produce Welsh rarebit?",True
news_query,Any noteworthy updates or developments to start off the day?,True
news_query,Has there been any fresh information that came up about the Sweden blast?,True
play_music,Could you commence the playing of the title song from Titanic?,True
weather_query,Is the climate supposed to get wet on this day?,True
audio_volume_up,Can you improve the auditory experience?,True
audio_volume_down,Reduce the intensity of audio.,True
datetime_query,How many hours apart are we from Dakar?,True
audio_volume_down,Set the sound intensity at a value that is exactly one-half of the original.,True
datetime_query,Could you indicate the instant we are currently in?,True
play_music,What musician is currently entertaining the audience?,True
music_query,Can you inform me about my auditory preferences? ,True
play_music,Commence playlist by playing the initial tune.,True
weather_query,Provide me information about the meteorological state of Barcelona following a couple of days.,True
news_query,"""Has the voting process for the budget concluded?""",True
qa_currency,Can you provide me with information on the comparative worth of the United States and Japanese forms of money?,True
audio_volume_up,Is it possible to enhance the audio level?,True
cooking_recipe,My desire is to make that particular cuisine.,True
weather_query,Do I need to wear my shades outside today?,True
audio_volume_down,Is it okay if you make the audio less loud?,True
play_music,Which Bob Dylan playlist is currently the most up-to-date?,True
cooking_recipe,How can I make a delicious plate of food?,True
play_music,Could you please stream songs from the Titanic soundtrack?,True
play_music,My spirits shall rise in case of any musical selection from Cat Stevens.,True
audio_volume_up,Can you turn up the sound level a bit?,True
cooking_recipe,Investigate methods for making an omelette containing a blend of four different cheeses.,True
music_query,Whose tune is that?,True
transport_traffic,"""In what manner do you move from place to place?""",True
music_query,Can you identify what's currently being played aurally?,True
music_query,Is it possible for you to identify the melody that's on air now?,True
audio_volume_up,Is it possible to make the sound more audible?,True
datetime_query,Could you convey to me the precise minute at this very instance?,True
qa_currency,"In terms of money, how much do I receive if I convert USD to INR?",True
transport_traffic,Can you tell me the flow of vehicles on the 101?,True
transport_traffic,What level of gridlock exists on my route to the office?,True
datetime_query,Look up the prevailing temporal state and geographical region simultaneously.,True
news_query,Has there been any development regarding Trump's travel ban recently?,True
news_query,Can you provide me with information on recent occurrences in our vicinity?,True
cooking_recipe,"I am craving for some sweet snacks, can you assist me in whipping up something delectable?",True
qa_currency,What is the value of the Japanese money compared to others?,True
music_query,Can you send me the lines of this tune through email? ,True
weather_query,Does a moist ambiance await us on this day?,True
qa_currency,What is the equivalent worth of one unit of yen?,True
transport_traffic,Do you have any insights into the ongoing status of mobility for motorized vehicles within the locality?,True
datetime_query,Explore to discover the contemporary temporal status as well as the spatial-region details.,True
audio_volume_down,Bring the volume to just half of its current amplitude.,True
play_music,"Can you put on the song ""Let Me Love You"" by Ariana Grande?",True
cooking_recipe,How can I prepare mouth-watering meatballs for my meal?,True
qa_currency,How much worth does one pound in sterling hold against an American dollar?,True
datetime_query,What's the instant in Germany according to German standard time?,True
music_query,In which year was this melody released?,True
play_music,Let's enjoy some tunes created by one of the most influential music bands in history.,True
audio_volume_down,Is there a way to reduce how loud the audio is playing?,True
audio_volume_up,"I'm sorry, could you articulate your words more clearly?",True
transport_traffic,I'm curious about the amount of hindrance during my routine passage.,True
music_query,Could you identify the tune that's currently audible?,True
play_music,"Can you put on the song ""Let Me Love You"" by Ariana Grande?",True
music_query,Could you drop a message containing the words for this melody?,True
datetime_query,May I know what's currently happening in terms of hours and minutes in Germany?,True
audio_volume_down,Decrease the level of noise produced by media.,True
audio_volume_down,Decrease the audio level of the speaker.,True
audio_volume_up,"Pardon me, would you mind repeating what you said? ",True
music_query,In which year was this musical composition introduced to the public?,True
news_query,Has anything changed recently on Facebook?,True
music_query,Could you share some insights regarding the sound that's emanating?,True
audio_volume_up,"""Can you make the audio as loud as possible?""",True
cooking_recipe,Can you provide instructions on how to prepare cookies?,True
play_music,How about unleashing the rhythms crafted by The Beatles?,True
cooking_recipe,What's the ideal heat to prepare cookie dough in the oven?,True
news_query,What are the popular subjects that everyone is talking about currently? ,True
qa_currency,What is the price conversion of pound sterling into US currency?,True
transport_traffic,How is the present situation regarding the flow of automobiles and other means of transportation in operation?,True
transport_traffic,To what extent are vehicles clogging up the thoroughfare leading me to my place of employment?,True
play_music,Is it possible to enjoy melody authored by The Beatles?,True
news_query,What are the latest updates in the local community?,True
music_query,What specifics can be found in the current track information?,True
datetime_query,Is it possible to tell the exact timing in Ivory Coast right now?,True
weather_query,I would appreciate it if you could tell me what to expect outside tomorrow.,True
news_query,Is there any development taking place in the immediate vicinity of the Capitol building?,True
news_query,What is the latest update on the Sweden bombing incident?,True
weather_query,Would it be possible to reveal the meteorological situation for Monday?,True
audio_volume_down,Diminish the loudness of the speaker's voice.,True
datetime_query,What is the current hour in the Windy City?,True
cooking_recipe,Discover ways to prepare a delicious omelette with four types of cheese.,True
qa_currency,What is the money used in Egypt?,True
transport_traffic,"""Is the commute flowing smoothly?""",True
datetime_query,Which particular weekday will follow tomorrow's yesterday?,True
cooking_recipe,Would you be able to give a detailed guide on preparing sweet and crunchy bites?,True
news_query,Is there any important information that has surfaced at the outset of the day?,True
audio_volume_up,"""Could you adjust the sound to its maximum level?""",True
cooking_recipe,Any ideas on where to locate steps for whipping up a tasty omelet composed of four different kinds of cheeses?,True
news_query,What are the recent local events that have occurred?,True
datetime_query,How can you tell if you're in sync with Chicago?,True
music_query,What details do you have about the rhythm that's currently audible?,True
weather_query,Would it be advantageous if I had an item that provides cover against water droplets?,True
music_query,I would like to know the current track in play. ,True
cooking_recipe,In what way can we roast potatoes to get the best results with oven temperature?,True
datetime_query,How to know when you are in sync with Chicago's schedule?,True
audio_volume_up,Would you mind making it more audible?,True
cooking_recipe,Find suggestions for making a four-cheese omelette.,True
play_music,Can you initiate some tunes from The Beatles?,True
qa_currency,What is the value of one US dollar in Japanese yen?,True
music_query,Can you identify the audio currently being heard?,True
weather_query,Can you give me information on what to expect for the upcoming weekday?,True
qa_currency,What is the comparative worth of a calone and the US dollar?,True
qa_currency,"In terms of monetary worth, how do the lera and dollar weigh up against each other?",True
weather_query,Will the atmosphere be moistened as per expectation?,True
transport_traffic,How is the flow of automobiles at present?,True
cooking_recipe,"When it comes to baking potatoes in the oven, what temperature works best?",True
qa_currency,In what proportion does the worth of a calone stand against that of a US dollar?,True
datetime_query,Explore to discover the present moment and corresponding geographic region's temporal configuration.,True
audio_volume_down,Diminish the audio level?,True
datetime_query,How can one measure moments that pass by as seconds turn into minutes?,True
audio_volume_down,Reduce the speaker's sound intensity.,True
weather_query,Is it too bright outside to go out without sunglasses?,True
datetime_query,"What is the present hour, if I may ask?",True
music_query,"""What genre entertains me the most frequently?""",True
news_query,What's the recent information about the local occurrences in our community?,True
datetime_query,How do we measure the duration between two events?,True
play_music,The mere sound of Cat Stevens' tunes brings me immense pleasure.,True
weather_query,Can you hear droplets falling in New Brighton PA?,True
music_query,Which genre of sound do I favor the highest?,True
datetime_query,What is the chronological representation of Chicago at this moment?,True
play_music,I would appreciate it if you could initiate the tunes on my curated music collection.,True
cooking_recipe,What are the steps required to make some yummy baked treats?,True
news_query,Which subjects are causing a buzz among people in the present era?,True
play_music,I'll be delighted if there is any song composed by Cat Stevens present in the playlist.,True
weather_query,"In the event of precipitation, I shall refrain from attending to my occupational duties.",True
audio_volume_up,Is there a way to enhance the auditory output from this device?,True
music_query,Can you identify the artist behind that musical composition?,True
transport_traffic,What is the standard time frame for covering the distance between home and the office?,True
datetime_query,"On the middle of the next week, which day will it be?",True
qa_currency,What is the equivalent amount of money for five hundred pesos?,True
datetime_query,What's the current moment in Chicago?,True
play_music,Start playing Bob Dylan's most recent selection of songs.,True
cooking_recipe,What is the process for preparing a meal?,True
cooking_recipe,"Can you provide a rundown of the components required to make welsh rarebit, dear robot?",True
transport_traffic,How is the flow of vehicles at present?,True
audio_volume_down,Is it possible for you to make your speech more subdued?,True
datetime_query,What's the current moment indication for Chicago?,True
audio_volume_up,Could you amplify the sound a bit more?,True
audio_volume_down,"Would it be possible to reduce the noise level, perhaps?",True
play_music,"Could you start the Ariana Grande tune titled ""Let Me Love You""?",True
music_query,Could you furnish me with facts about the noise that's presently audible?,True
transport_traffic,Can I reach my workplace without any hindrance?,True
audio_volume_down,Adjust the sound level of the speaker to a more moderate rate. ,True
qa_currency,What is the worth of a lera relative to the dollar?,True
audio_volume_down,May I request for a gentle audio stream?,True
qa_currency,In what form is money circulated in Egypt?,True
audio_volume_down,Adjust the audio output from media sources.,True
qa_currency,Transform dollars to pounds sterling.,True
weather_query,Will my eyes hurt if I don't wear shades when I step outdoors?,True
audio_volume_up,I require intensifying the sound output.,True
audio_volume_up,I'd appreciate it if you could crank up the audio.,True
cooking_recipe,Please guide me in creating a batch of scrumptious treats to indulge in.,True
music_query,What are the types of sounds that resonate with me? ,True
news_query,Has anything noteworthy occurred on the platform of Facebook lately?,True
qa_currency,How much INR I get for a single unit of USD?,True
audio_volume_down,Can you reduce the loudness of the speakers?,True
datetime_query,Can you tell me the current hour in Ivory Coast?,True
cooking_recipe,"The meal in question, I wish to make it myself.",True
weather_query,Do I need to bring something to keep myself dry?,True
music_query,Can you provide me with details regarding the audio playing right now?,True
audio_volume_down,"Can you soften the sound a bit, please?",True
transport_traffic,"In general, how much time should it take to reach your place of employment?",True
play_music,"Do you happen to know how I can enjoy the music of ""Let Me Love You"" by Ariana Grande?",True
music_query,Tell me what tune is presently playing.,True
audio_volume_up,Amplify the auditory experience.,True
music_query,The sort of auditory category that I am most attuned to is?,True
play_music,Groove to some funky tunes.,True
transport_traffic,Can you let me know what's happening with the movement of vehicles right now?,True
weather_query,Will our surroundings be covered in a blanket of frosty crystals within the next few days?,True
transport_traffic,Is the route to the office unobstructed?,True
weather_query,Is it necessary for me to carry a certain object that protects me during precipitation?,True
play_music,"If Cat Stevens' music fills the room, my spirit will soar.",True
qa_currency,How much does a calone value in relation to the American dollar?,True
play_music,Begin streaming melodies featured in Titanic film.,True
audio_volume_up,Is there a way to enhance the intensity?,True
music_query,Do you have any insight into the current piece of sound being broadcasted?,True
cooking_recipe,What degree should I set the oven for making cookies?,True
audio_volume_down,Bring media audio to a subdued level.,True
cooking_recipe,What temperature do you recommend when baking cookies?,True
weather_query,Are there any chances of precipitation in today's sky?,True
audio_volume_down,Bring the audio's loudness to a pace that is less intense. ,True
qa_currency,How valuable is five hundred pesos?,True
cooking_recipe,Which method should I use to make a dish?,True
