intent,text,no_taboo_words
play_music,Launch the playlist and start with the very first song in it.,True
qa_currency,"I'm curious about the equivalency of yen to other forms of legal tender, would you happen to know?",True
transport_traffic,How do the streets appear presently?,True
play_music,How about we jam out to some groovy beats?,True
news_query,Could you provide me with the latest information regarding Donald Trump?,True
cooking_recipe,"In order to avoid undercooked or overcooked meat, what temperature should you aim for when frying an entire turkey?",True
music_query,Which category of music occupies most of my listening time?,True
datetime_query,What is the current period in Chicago right now?,True
audio_volume_up,Can you turn up the sound a bit?,True
weather_query,Can you provide an update on what's expected for Barcelona's sky after 48 hours?,True
weather_query,Is there any way I can find out what to expect from tomorrow's elements?,True
cooking_recipe,Can you display the instructions on how to make cookies?,True
transport_traffic,Are the roads to work open?,True
news_query,What's new with regards to Trump's travel ban policy?,True
news_query,Could you give me information about what is happening recently in association with Donald Trump?,True
audio_volume_up,Adjust the left speaker's sound level by adding ten.,True
play_music,I would love to hear tracks from the playlist I have selected; could you play them for me?,True
play_music,How about some upbeat and rhythmic funk melodies to enjoy?,True
transport_traffic,Is the flow of vehicles on the one hundred and one highway congested?,True
cooking_recipe,How do I make homemade cookies? ,True
transport_traffic,How was the flow of cars recently?,True
audio_volume_down,Turn down the sound on the speaker system.,True
weather_query,Would it be sensible to have a strategy in place for removing snow around my house?,True
audio_volume_down,Set the volume to half the current value.,True
transport_traffic,What is the expected length of time it takes for one to commute to work?,True
play_music,Can you hit the play button on the Titanic's theme song?,True
cooking_recipe,"I am looking for a list of items to whip up welsh rarebit. Could you assist me in this matter, oh wise robot?",True
news_query,Is there anything noteworthy to report today?,True
news_query,What is the latest information available on the Sweden bombing episode?,True
play_music,Could you play the title track from Titanic?,True
weather_query,Will we need to bring our umbrellas with us due to predicted rain?,True
audio_volume_up,Can you adjust the sound level to a higher degree?,True
audio_volume_down,Reduce the amplitude of the audio.,True
datetime_query,How far apart are the temporal zones of here and Dakar?,True
audio_volume_down,Make the loudness equivalent to half of its current level.,True
datetime_query,Could you inform me of the exact hour of the day?,True
play_music,Who is the performing artist?,True
music_query,What are my preferred musical genres? ,True
play_music,Trigger the playlist to start from the very first tune.,True
weather_query,How would you describe the climate in Barcelona in two days' time?,True
