intent,text
cooking_recipe,Can you provide me with the instructions to make cookies?
cooking_recipe,"I'd like to learn how to bake cookies, could you show me the recipe?"
cooking_recipe,May I have the steps to create a batch of cookies?
cooking_recipe,Can you provide me with the instructions on how to make cookies?
cooking_recipe,What are the steps to create a cookie recipe?
cooking_recipe,May I see a guide on how to prepare cookies?
cooking_recipe,What is the ideal temperature for baking cookies?
cooking_recipe,
cooking_recipe,What temperature should I set my oven for when baking cookies?
cooking_recipe,
cooking_recipe,"When making cookies, what temperature should I bake them at?"
cooking_recipe,What's the ideal temperature to bake cookies?
cooking_recipe,"When baking cookies, what temperature should I set my oven to?"
cooking_recipe,Is there a specific temperature that works best for baking cookies?
cooking_recipe,Can you provide me with a recipe for making cookies?
cooking_recipe,"I would like to learn how to prepare cookies, can you show me a recipe?"
cooking_recipe,Do you happen to have a guide on making cookies?
cooking_recipe,Can you provide me with a recipe for baking cookies?
cooking_recipe,"I'm looking for directions to make homemade cookies, can you help me out?"
cooking_recipe,Could you share with me a guide on creating delicious cookies?
cooking_recipe,What is the ideal frying temperature for cooking a whole turkey?
cooking_recipe,How can I determine the appropriate temperature for frying an entire turkey?
cooking_recipe,Is there a specific temperature range that's suitable for deep-frying a whole turkey?
cooking_recipe,What is the right temperature to fry a whole turkey?
cooking_recipe,How can I determine the ideal frying temperature for a whole turkey?
cooking_recipe,Is there a specific temperature that must be maintained while frying a whole turkey?
cooking_recipe,"""What constitutes the perfect meatball recipe?"""
cooking_recipe,"""What is the ultimate way to prepare meatballs?"""
cooking_recipe,"""How do you make the most delicious meatballs?"""
cooking_recipe,What recipe makes the most delicious meatballs?
cooking_recipe,Can you suggest a recipe that produces mouth-watering meatballs?
cooking_recipe,How can I cook meatballs in a way that will make them taste the best?
cooking_recipe,What temperature is ideal for roasting potatoes in the oven?
cooking_recipe,"When roasting potatoes, what temperature should be set on the oven?"
cooking_recipe,What is the optimal oven temperature for baking potatoes?
cooking_recipe,What temperature setting is ideal for oven-roasted potatoes?
cooking_recipe,"When roasting potatoes, what temperature should the oven be set at for optimal results?"
cooking_recipe,"In order to achieve perfectly roasted potatoes, what is the most suitable temperature for the oven to be programmed at?"
cooking_recipe,Search for recipes on how to make a four-cheese omelette.
cooking_recipe,Browse for instructions on preparing a four-cheese omelette.
cooking_recipe,Seek out guides on creating a four-cheese omelette.
cooking_recipe,Search for instructions on how to make a four-cheese omelette.
cooking_recipe,Seek out methods for creating a four-cheese omelette.
cooking_recipe,Find recipes that demonstrate the preparation of a four-cheese omelette.
cooking_recipe,Can the robot provide me with a list of ingredients for welsh rarebit?
cooking_recipe,"I need the recipe for welsh rarebit, can the robot list down the ingredients for me?"
cooking_recipe,"Robot, could you please give me a rundown of the necessary ingredients to make welsh rarebit?"
cooking_recipe,"Can you provide me with a compilation of ingredients for welsh rarebit, dear robot?"
cooking_recipe,"Dear bot, could you furnish me with a rundown of the essential components to make welsh rarebit?"
cooking_recipe,"Would it be possible, dear robotic friend, to assemble a list of the necessary ingredients required to concoct welsh rarebit?"
cooking_recipe,"Creating a paraphrase: ""The meal is what I aim to cook."""
cooking_recipe,"Creating another paraphrase: ""Preparing that specific dish is what I desire to do."""
cooking_recipe,"Creating a third paraphrase: ""Cooking that particular cuisine is my intention."""
