intent,text
get_estimated_duration,What is the distance of my drive to Beatrice?
get_distance,How far apart are Houston and Hollywood?
get_info_road_condition,Was the flood of yesterday cleaned by a Black Bear?
update_directions,Can I possibly increase my speed somehow?
get_estimated_departure,What's the ideal departure time for me to reach the Thunder game before 6 p.m.? 
get_estimated_departure,When do I need to leave my home to be on time for the 8 pm screening?
get_distance,What is the distance in miles between this place and Disney World?
get_estimated_duration,Find out when Walmart starts its business day while traveling on Jabaquara Street.
get_estimated_departure,At what time should I depart in order to arrive in Irvine by 7 pm? 
update_directions,Is it possible to change the course?
get_info_route,Is there a gas station on the way if I take this route?
get_estimated_duration,What's the travel time by car from San Francisco to Monterrey?
get_estimated_duration,Can you tell me approximately how long it would take to drive from Union College to Trustco Bank on Madison Avenue in Albany?
get_directions,"What would be the directions to follow if I want to reach Ikoyi by 2:44 pm today from Harvestrue, Building A?"
get_info_road_condition,Has the highway between my domicile and office experienced any flooding lately?
get_estimated_duration,"If my friend departs from La Jolla at 6, what will be the duration of her journey to reach here?"
get_location,Where is the nearest Target outlet located?
get_estimated_arrival,"If I depart from Syracuse to New York City, what would be my estimated time of arrival?"
get_estimated_arrival,What hour should I aim to arrive at my house if I leave work at 4 o'clock today?
get_info_road_condition,"""Is there any presence of ice on the road that leads to my residence?"""
get_directions,"What route should I take if I were to drive to Nashville, TN?"
get_estimated_duration,What is the current estimated time of arrival when driving from Tacoma to Seattle?
update_directions,What are some alternate routes to take when commuting from St. Cloud to Minneapolis?
get_directions,Can you provide the fastest driving route to International Drive in Orlando with no detours or traffic?
get_info_traffic,How heavy is the traffic flow on the 10 highway?
get_estimated_duration,How much time should one allocate for traveling from Maria's residence to the beach?
get_estimated_duration,"Taking into account traffic, what is the duration of the journey to Vacaville from this spot?"
get_estimated_arrival,When can I expect you to reach my home?
get_info_route,Can you tell me which gas stations lie on my route from my current location to the destination?
get_estimated_duration,How long does it typically take to get from Chicago to Indianapolis by transportation means?
get_info_road_condition,Will the road to Mariposa have any snow during this upcoming weekend?
get_location,"""Would you consider Brian's residence to be situated nearby the H1 Freeway?"""
get_info_road_condition,Are the roadways covered in ice?
get_location,Can you tell me the closest Target store?
get_estimated_departure,Could you suggest the appropriate leaving time if my destination is OMSI in Portland and I must arrive there by 2:30 pm?
get_distance,"""How far apart are Miami and Orlando?"""
get_estimated_arrival,Is it feasible to get to downtown by 7:30 if I leave now?
get_info_road_condition,Does the freeway that links my abode and office have any flooding occurrences at present?
get_estimated_departure,"""What is the ideal departure time for me to reach the cinema before 8 pm, starting from my house?"""
get_distance,How many miles are there from Phx to NY?
get_estimated_duration,What is the estimated travel time for reaching downtown during peak hours?
get_info_traffic,Has the highway 80 in Truckee been cleared for driving?
get_info_road_condition,Is there a possibility that the streets will be submerged in water tonight?
get_estimated_duration,How long does it generally take to travel from New York City to Philadelphia?
get_estimated_arrival,What is the predicted time for reaching my destination?
get_info_road_condition,Is there any water overflowing between here and Georgetown?
get_directions,"Leaving by 1 PM, I require guidance to reach Katie's place located in Robertsdale."
get_info_road_condition,Has the freeway that leads to my residence been affected by floodwaters?
get_estimated_arrival,Is there a chance that I can make it to downtown by 7:30 if I go now?
get_info_road_condition,When can I expect to witness a snowfall on highway 90?
get_info_traffic,Would you be able to inform me if any accidents happened on I-26 West between this place and Chapin?
get_estimated_arrival,"Leaving in 45 minutes, is it probable that I'll miss the 7 pm concert?"
