intent,text
get_distance,What is the road length to move from this place to Disney World?
get_info_traffic,What's the condition of vehicular mobility near the Essence Music Festival in Los Angeles?
get_info_traffic,Could construction work be hindering the accessibility of some exit points on Highway 50 at this time?
get_estimated_departure,What time should I get to Bandelier Monument on Saturday if I want to arrive by 9 am?
get_info_route,Is there a designated road space for vehicles carrying multiple passengers in the upcoming stretch?
update_directions,How can we navigate through this gridlock?
get_directions,How can I navigate my way to Nashville TN?
get_estimated_departure,"If I intend to arrive at the event one hour prior when it commences at 7 pm, what is the appropriate time I must depart from home?"
get_distance,How much time it takes to journey from New York to Boston by car?
get_estimated_duration,What amount of traveling should I expect to get to my workplace?
get_distance,"What is the approximate duration of a trip from Moab, UT to Provo, UT?"
get_info_route,Is it possible for you to provide me with information regarding the Shell fueling stations that are located on the highway I-59 from this location all the way up to Hattiesburg?
get_estimated_departure,Is it possible to arrive home before sunset if I stay the whole duration of the festival?
get_info_route,"""What are the service stations positioned on the itinerary connecting my whereabouts and target locality?"""
get_distance,What is the span of land from Florida to California?
get_info_road_condition,What's the estimated time for the arrival of precipitation on highway 90?
get_location,Which theme park of Six Flags can be found nearby?
update_directions,In what ways can someone escape from the hustle and bustle of overcrowded streets?
get_estimated_arrival,What are my chances of getting to work on time given the current traffic conditions?
get_estimated_duration,"If I depart by 1 pm, when should I anticipate reaching my 2pm engagement?"
get_info_road_condition,Can someone drive smoothly along the route of I-57?
get_estimated_arrival,"Leaving at this moment, would I be able to get downtown by 7:30?"
get_estimated_departure,At what hour is it best for me to head over to the 4 pm meeting in Mayfield?
get_info_road_condition,Was the Black Bear able to clean up after last night's heavy rainfall?
get_estimated_duration,How far apart are Chicago and Indianapolis in terms of transportation?
get_estimated_duration,What is the duration required for traveling from NYC to Philadelphia?
get_info_road_condition,Can I reach the dog show without taking the flooded Main Street?
get_estimated_duration,What's the estimated duration of my journey to traverse the city?
get_estimated_arrival,Is it feasible for me to make it back home before 9 PM having started my journey presently from work?
get_distance,How much time does it take to reach El Paso?
get_info_road_condition,Are there indications of hazardous driving conditions due to freezing temperatures?
update_directions,Is there a swifter route that leads directly to Phoenix Avenue?
