intent,text,no_taboo_words
get_estimated_departure,At what hour should I depart from my house to reach the cinema by 8 o'clock?,True
get_info_road_condition,Are the streets still difficult to traverse this morning due to the snow? ,True
get_estimated_departure,What time should I plan my departure from home for reaching Grand Blvd Movies by 7 pm?,True
get_estimated_duration,What is the duration of the drive to Lake Wales?,True
update_directions,Can you suggest a swifter means of getting this job done?,True
update_directions,"Could you suggest a different path, please?",True
get_info_traffic,Can you describe the congestion level on I-84 during peak hours?,True
get_distance,What is the length of the route to reach El Paso?,True
get_directions,Can you identify the nearest way out which doesn't have heavy flow of vehicles?,True
get_estimated_duration,Could you provide an estimate on the commute from San Francisco to Monterrey?,True
get_location,What is the designated parking area for Green Day concert attendees with disabilities?,True
get_location,Can you provide directions to the nearest Target store?,True
get_directions,How can I reach Cherokee Casino from my residence without having to take HWY 321?,True
get_estimated_departure,At what hour do I must be present at my nephew's match that begins at five o'clock ?,True
get_info_traffic,"Would you happen to know the amount of vehicles on the roads of Foley, AL right now?",True
get_distance,What's the span of terrain from New York to Los Angeles?,True
get_estimated_duration,How far is it from the shoe store to my house?,True
get_estimated_arrival,At what time can I expect to arrive at my intended location?,True
get_estimated_arrival,"Assuming we leave this very moment, when would be our estimated time of entry into Arkansas? ",True
get_estimated_arrival,At what hour can I expect to reach my destination?,True
update_directions,Can we take a quicker way to reach the cinema hall? ,True
get_distance,What is the space that separates New York from Los Angeles?,True
get_directions,Is there a faster way for me to get to the Walmart shop from my existing position?,True
get_info_traffic,Can you describe the current state of traffic at this moment?,True
get_info_road_condition,Have they cleared the obstruction on Champaign avenue?,True
get_directions,Locate a path that leads to Tampa without any tolls on the route.,True
get_info_route,Do I need to pay anything to travel on the turnpike?,True
get_estimated_departure,At what time should I set out for OMSI in Portland so as to be there by 2:30?,True
get_location,Can you tell me the closest destination to visit a Six Flags-themed amusement park?,True
get_location,How do I reach the nearest off-ramp leading to the alternate route?,True
get_info_road_condition,Are the roads to Georgetown safe and passable?,True
get_directions,Is there any alternative path to take whilst heading into Detroit tonight that circumvents the construction zone? ,True
get_info_road_condition,Does 202 provide any type of protection against flood-prone hazards?,True
get_location,Which direction should I head to access the nearest freeway entrance?,True
get_info_route,Could you please furnish me with the locations of all the Shell stations that fall on the route from here to Hattiesburg via I-59?,True
get_estimated_departure,What is the ideal time for me to begin my journey towards the 5 pm football game?,True
get_estimated_arrival,Can I arrive at Tiffany's before 3 pm by leaving right away?,True
get_estimated_departure,At what time should I wrap up my tasks so that I can arrive at Taylor's place before 10 pm?,True
get_estimated_duration,What is the duration for my trip to the zoo if I depart at this moment?,True
get_info_route,Will we be approaching any exclusive traffic lanes for ride-sharing along this path?,True
update_directions,Could you propose some alternative directions to bypass the rush hour jam?,True
get_info_traffic,Have there been any significant incidents in Boston today?,True
get_info_traffic,Would the Cubs' game tonight cause any traffic hindrance in Wrigleyville?,True
get_distance,What is the length separating San Diego from San Francisco?,True
get_directions,"Is it possible to find a detour that leads to downtown Atlanta, keeping in mind that there should be no roadblocks due to any nearby construction?",True
get_distance,What is the span of space that separates Orlando from Sanford?,True
get_estimated_duration,What is the distance between San Francisco and Monterrey by road?,True
get_directions,Can you suggest the fastest way for me to reach my job location?,True
get_estimated_departure,At what hour should I catch a train if my destination is New Jersey with an expected arrival of 5?,True
get_estimated_arrival,Would I be able to make it to Marcus Movie Theatre by 8:15 pm tonight?,True
get_location,Can you tell me the exit I can use to get off this main road secretly?,True
update_directions,Is there a different road to take which has a lower volume of traffic?,True
get_info_road_condition,Has heavy rainfall caused any hindrances or blockages on the expressway that runs through my house and workplace?,True
get_distance,What is the amount of miles from New York to Seattle?,True
get_estimated_departure,At what time would I have to start my commute tomorrow morning to arrive at work by 8 without getting caught in traffic?,True
get_distance,What is the number of miles that separate Atlanta and Nashville?,True
get_estimated_arrival,"If I hop on I-90 at 8 am, what time should I expect to reach my workplace?",True
get_directions,"""What is the fastest way to get to Walmart from where I am currently located?""",True
get_directions,Which is the safest way to reach San Antonio Airport tomorrow morning?,True
get_info_road_condition,Is the road condition treacherous while driving to Shelbys house?,True
get_info_road_condition,Are there any parts of Route 202 that are protected from flood risk?,True
get_estimated_duration,What duration is required for me to move through the town?,True
get_estimated_arrival,How much longer until you reach my place?,True
get_estimated_arrival,How much more time do I need to complete my journey?,True
get_directions,Which path would lead me to the nearest Walmart with minimal delay from my present whereabouts?,True
get_directions,Can you guide me to get to the jewelry store after taking the highway?,True
get_info_traffic,Have there been any incidents reported on Highway 85?,True
get_estimated_duration,What is the expected arrival of my friend leaving from La Jolla by 6?,True
update_directions,Would it be feasible to adjust the route?,True
get_info_route,Is there a fee for using the turnpike?,True
get_directions,What is the route I must take to reach Katie's residence in Robertsdale by 1 PM?,True
get_distance,What is the space separating Tacoma's Dome from my residence?,True
get_info_traffic,What is the level of congestion on I-84?,True
update_directions,Is it possible to avoid this congestion given my current location?,True
get_info_traffic,Is there any ongoing construction on 696 that would affect my route to the Novi homebuilder show?,True
get_distance,How many miles do I need to travel to get to work?,True
get_distance,"What is the separation in miles between Moab, UT and Provo, UT?",True
get_info_traffic,Has Boston experienced any major occurrences today that have caused concern?,True
get_estimated_arrival,"If I depart in 45 minutes, is it possible to make it on time for the concert at 7?",True
get_directions,Which routes would you recommend taking to avoid heavy traffic while driving?,True
get_estimated_departure,What's the ideal departure time from here if I have to be at the nearest movie theater by 8:00 pm?,True
get_estimated_arrival,What's the time left for me to reach there?,True
get_distance,How many hours does it take to travel between Indianapolis and San Antonio?,True
get_info_traffic,"""Is there any significant movement on the roads currently?""",True
get_info_traffic,Can we expect the traffic jam to clear out soon?,True
get_info_traffic,What is the current level of congestion on Route 217?,True
get_directions,What are the available bus routes that connect Banning to Palm Springs?,True
get_directions,What's the most efficient route to take for me to arrive at Disney World before 12 pm while avoiding both toll roads and congested areas?,True
update_directions,Can you suggest some alternative pathways to avoid congested roads?,True
get_distance,What's the interval of space between New York and Boston?,True
get_location,What is the location of Iolani Palace?,True
get_estimated_duration,Can you estimate how extended my commute will be given the nearby congested roads?,True
get_info_road_condition,Will there be any obstacles on the way to Shelbys house that one should take note of? ,True
get_distance,What is the separation in miles of New York and Seattle?,True
update_directions,I'm hoping you can provide me with another way to go that will have fewer cars blocking the road.,True
get_estimated_duration,"What is the estimated duration of travel to Vacaville from this place, given the traffic conditions?",True
get_estimated_duration,Can you provide an approximation for the travel duration between New York City and Philadelphia?,True
update_directions,Is there an alternative way to reach our destination?,True
get_estimated_departure,At what time is it feasible for me to reach the medical facility by 5 pm coming from work?,True
get_location,Can you provide me with a list of water-themed attractions located in Minneapolis?,True
get_info_traffic,Could you tell me the number of cars passing through 217 at present?,True
get_estimated_departure,What is the ideal hour for departing from work in order to reach Presidente Epitacio by 3 am?,True
get_estimated_duration,"What is the expected duration of travel to Shreveport, assuming I depart immediately?",True
get_estimated_departure,"If I am planning to go to Atul's birthday ceremony on Thursday afternoon, what would be the appropriate starting time of my voyage from here?",True
get_directions,"Can you provide me with the fastest possible route to reach International Drive in Orlando, without encountering any construction or traffic delays?",True
get_distance,Can you tell me how much time it takes to travel from Phx to NY?,True
get_estimated_duration,What is the driving duration to reach the grocery store?,True
get_estimated_arrival,Can I make it to my meeting in Waco by leaving at 1:30 pm?,True
get_estimated_duration,What is the typical duration of travel when heading towards downtown during peak traffic?,True
get_info_road_condition,Is there a layer of snow on top of the roads currently?,True
update_directions,Can you redirect the path?,True
get_directions,Is there a quicker path from Ocala to Gainesville that I can take?,True
get_directions,"""What way should I take to get back home in the shortest amount of time?""",True
get_directions,Could you provide me with a guiding route to the Atlanta aquarium? ,True
get_info_road_condition,Is it likely for me to come across any snowy conditions en route to my grandma's abode?,True
