intent,text,no_taboo_words
SearchCreativeWork,Could you acquire knowledge regarding the group named Woodsmen from the west?,True
RateBook,Grant the Catedral series a quartet of stars.,True
BookRestaurant,May I ask if there's a chance to reserve a space where my nieces and I could savor some tea at the teahouse?,True
PlayMusic,Is there anything from Andrew Hewitt that we can get hold of?,True
SearchCreativeWork,"Keep an eye out for Jersey Boys, the TV show.",True
PlayMusic,Set up the sounds of the sixties. ,True
SearchCreativeWork,Is it possible for you to procure me the audio recording of Compulsive Disclosure?,True
GetWeather,Can you provide insight into the prediction of sub-zero conditions in LA?,True
GetWeather,Would overcast conditions be observed in region VI in the next quarter of an hour?,True
GetWeather,Is there any notice about what to anticipate from the climate conditions at Milleville Beach?,True
GetWeather,"What can be expected in terms of overcast atmosphere at the present site beginning Jul. 19, 2030?",True
GetWeather,"Could you inform me whether it would be snowy in Mount Airy, VI, after a duration of 8 hours?",True
GetWeather,"Can you tell me if the skies will be clear or cloudy in our location from July 19, 2030 onwards?",True
RateBook,How do you see the new novel on a scale of excellence out of 6 stars?,True
SearchCreativeWork,Unearth and tune in to the series that suits my taste.,True
AddToPlaylist,Include Toyan within the compilation of my top-notch gaming melodies.,True
RateBook,"Grant, to The Crystal Snare, a perfect rating of five shining stars.",True
RateBook,How would you quantify this book's merits on a scale of six?,True
BookRestaurant,Secure seats for a group of 4 individuals at South Street Diner in Oklahoma.,True
BookRestaurant,Can someone help me secure comfortable seating arrangements in Saint Helena at Settha Palace Hotel?,True
GetWeather,I'm curious to know if there's any projection about the climate in the area of Turtle Islands National Park.,True
SearchCreativeWork,Unearth a unique creation named Fire in the Hole.,True
AddToPlaylist,Would you consider labeling this album under Old School Death Metal?,True
BookRestaurant,Reserve an arrangement intended for sitting in the vicinity of the academic facility attended by Pat.,True
SearchCreativeWork,Where in the cemetery is the album called Orphan Girl obtainable?,True
SearchScreeningEvent,"""The sight of Outcast is what I crave.""",True
BookRestaurant,Schedule a dining area adjacent to Pat's university precinct.,True
RateBook,Evaluate Personal Demons and give it a score between zero and six.,True
SearchScreeningEvent,Can you recommend any food-friendly animated content?,True
BookRestaurant,Can you secure a spot at an eating place within easy reach of Massachusetts? ,True
AddToPlaylist,Incorporate the 40 cal music in the laundry compilation.,True
GetWeather,"What are the expectations for Morocco's climatic conditions on December seventeenth, 2022 at Lake Ozark?",True
BookRestaurant,Is there a place that serves bougatsa near Penn area for three individuals?,True
SearchCreativeWork,Can you tell me where the picture of Epic Conditions is?,True
SearchCreativeWork,Is there a way to identify the ALMOST HUMAN painting?,True
SearchCreativeWork,In search of a artwork called Together With You.,True
AddToPlaylist,Insert this musician into my electronic heavens roster.,True
PlayMusic,"Initiate the playback of Miles Davis' ""This Is"" album on Lastfm.",True
SearchCreativeWork,Can you procure for me the book marked as Confidential?,True
RateBook,How would you evaluate That Cat with a score of 1 through 6 stars?,True
GetWeather,Any climate updates for this region at 2 A.M.?,True
AddToPlaylist,Can I include Toyan in my collection of songs for Epic Gaming?,True
SearchCreativeWork,Can anyone suggest how I can get my hands on Phinally Phamous game?,True
PlayMusic,Do you know how I can access one of the episodes of Mike Harding's show?,True
PlayMusic,Make use of Last fm service to get access to A Mis Ninos de 30 track.,True
RateBook,Express your disappointment with the album by assigning it only one star.,True
GetWeather,"Describe the climatic situation at Walden, Russia dated December 26, 2018.",True
AddToPlaylist,Incorporate the musician into the political punk tracks.,True
SearchCreativeWork,Would you be able to delve into the game ATLA: All This Life Allows?,True
RateBook,Award this album a total of 5 points.,True
BookRestaurant,Is there a spot available for 9 guests?,True
BookRestaurant,Looking for a recommended gastropub around Concord MN where we can enjoy the company of five people.,True
RateBook,Could you provide me with your perspective on the quality of A World Apart relative to its contemporaries?,True
RateBook,What is your opinion on this saga if it were to be compared with other sagas?,True
GetWeather,"Can you describe the current climate situation in Tyonek, New Jersey?",True
SearchCreativeWork,What is the method to add The Henderson Kids saga to my collection?,True
BookRestaurant,Schedule a visit to the noodle pub.,True
PlayMusic,How about some tracks that were popular twenty-five years ago?,True
SearchCreativeWork,Is The Ridiculous 6 story available in the literary form?,True
SearchCreativeWork,Is it possible for you to procure the Secret South melody?,True
SearchCreativeWork,I require assistance in obtaining the Restricted volume.,True
AddToPlaylist,Is it possible to incorporate the song Digging Now into my Young at Heart compilation?,True
BookRestaurant,Secure a place for a gathering comprising of nine individuals in a bakery based in Nunez.,True
RateBook,The book in question offers zero value on a scale of six.,True
SearchScreeningEvent,May I inquire as to the available motion pictures being shown around here?,True
SearchCreativeWork,Is there any way you could source the promotional footage for Good Morning Sunshine for me?,True
SearchScreeningEvent,Do you happen to know when the motion pictures will be playing at Great Escape Theatres?,True
AddToPlaylist,Incorporate Tommy Johnson into The MetalSucks compilation of tracks.,True
RateBook,How would you evaluate the present book with three asterisks?,True
SearchCreativeWork,Can you determine the Epic Conditions photograph?,True
SearchCreativeWork,Do you have access to the video game entitled 20 Hours in America?,True
BookRestaurant,Can I make arrangements to savor a bougatsa feast in the vicinity of Penn university for a group of three at any point during the coming year?,True
