intent,text,no_taboo_words
SearchCreativeWork,Would you be able to gather data on the Woodsmen of the West?,True
RateBook,The quality of the Catedral series merits a four-star recognition.,True
BookRestaurant,Could you procure a location at the tea house where my nieces and I can sit?,True
PlayMusic,It would be great to get some insights from Andrew Hewitt on the matter.,True
SearchCreativeWork,Explore the TV program Jersey Boys for entertainment.,True
PlayMusic,Could you please stream music from the 1960s?,True
SearchCreativeWork,"Would it be possible for you to obtain the music piece titled ""Compulsive Disclosure"" and pass it on to me?",True
SearchScreeningEvent,"""Which animated movies are available during dinner hours in this locality?""",True
GetWeather,What are the predictions for LA in terms of low temperatures?,True
GetWeather,Could we observe a misty substance hovering above VI within the next 14 minutes?,True
GetWeather,Is it likely for there to be any meteorological changes in Milleville Beach?,True
PlayMusic,"I would like to listen to the most sought-after Nawang Khechog album, can you assist me in doing so?",True
GetWeather,"Is there an estimate of how much the sky will be covered in clouds from Jul. 19, 2030, where we currently stand?",True
GetWeather,"Is it possible to know whether Mount Airy, VI will receive snow in the next 8 hours?",True
GetWeather,"Can you predict the likelihood of cloudy skies at the current location from Jul. 19, 2030 onwards?",True
RateBook,What is your assessment of the present book on a scale of 6 stars?,True
SearchCreativeWork,Locate the show titled To Me on television.,True
AddToPlaylist,Is it possible to integrate Toyan into my collection of tracks for Epic Gaming?,True
PlayMusic,Engage the musical pieces courtesy of Lynn & Wade Llp.,True
RateBook,Provide a score of 5 stars to The Crystal Snare.,True
RateBook,Assign this novel a score of 3 out of 6.,True
BookRestaurant,Reserve seating for a group of 4 individuals at South Street Diner located in Oklahoma.,True
BookRestaurant,Can you make arrangements for a seating of four at Settha Palace Hotel in Saint Helena? ,True
PlayMusic,"Can you stream Nicole's composition, Have You Met Miss Jones from Google Music?",True
GetWeather,What are the anticipated climatic circumstances in Turtle Islands National Park?,True
SearchCreativeWork,Explore a unique creation named Flames Down Under.,True
AddToPlaylist,Does this album belong in the Old School Death Metal genre?,True
BookRestaurant,Is it feasible to arrange for a spot to dine nearby where Pat pursues education?,True
SearchCreativeWork,"Locate and retrieve Orphan Girl, the album, from the Cemetery.",True
SearchScreeningEvent,When can I catch a glimpse of Outcast?,True
BookRestaurant,I'd like to arrange for seating not far from where Pat attends classes. ,True
RateBook,Provide a score for Personal Demons indicating the level of quality it has.,True
SearchScreeningEvent,"""Are there any animated movies that can be watched during the time of dinner within this region?""",True
BookRestaurant,Secure a booking at a dining establishment that is conveniently located in the vicinity of Massachusetts.,True
AddToPlaylist,Incorporate the 40 cal melody into the laundry tracklist.,True
GetWeather,"Can you provide information about the atmospheric conditions in Morocco at Lake Ozark on December 17th, 2022?",True
BookRestaurant,Can you recommend a bougatsa eatery close to Penn that can accommodate three individuals for next year?,True
SearchCreativeWork,Is it possible for you to find the image of Epic Conditions?,True
SearchCreativeWork,Where can I obtain the ALMOST HUMAN painting?,True
SearchCreativeWork,I am in need of a painting that goes by the name With You.,True
BookRestaurant,Is it possible to arrange a meal setting for four individuals?,True
AddToPlaylist,Integrate this musician into my Electronic Bliss playlist.,True
PlayMusic,Stream the This Is collection of Miles Davis on Lastfm.,True
SearchCreativeWork,Can you locate the confidential manuscript for me? ,True
RateBook,"Assign a score out of six stars for your experience with the book, ""Hate That Cat"".",True
GetWeather,Can you describe the climate situation in this area during the wee hours of the night?,True
AddToPlaylist,Include Toyan in my Epic Gaming playlist.,True
SearchCreativeWork,"""Questing for a title named Phinally Phamous.""",True
PlayMusic,Access David Hodges' Dr. Lecter album via Itunes.,True
PlayMusic,Would you be interested in listening to one of Mike Harding's featured episodes?,True
PlayMusic,Make use of Last.fm platform to stream the song A Mis Ninos de 30.,True
RateBook,xpress your dissatisfaction for this album using one star.,True
GetWeather,"How was the climate in Walden, Russia on 12/26/2018 according to your observations?",True
AddToPlaylist,Incorporate the artist into the political punks playlist.,True
SearchCreativeWork,Could you provide details regarding the video game ATLA: All This Life Allows?,True
RateBook,Rate this album with a total of 5 points.,True
BookRestaurant,Can you arrange a place for nine people in the restaurant?,True
SearchCreativeWork,Is it possible for you to direct me towards where I can obtain The Deep Six narrative?,True
BookRestaurant,Are there any highly recommended eateries in Concord MN suitable for a group of 5 people?,True
RateBook,What is your opinion on the quality of A World Apart?,True
RateBook,Assign a score of only two marks to this story out of six.,True
