intent,text,no_taboo_words
SearchCreativeWork,Inquire about the group of lumberjacks based out of the American West.,True
RateBook,Award the Catedral series with a four-star appraisal.,True
BookRestaurant,Would it be feasible to have a designated spot for my nieces and I to experience the calming ambiance of a traditional tea house?,True
PlayMusic,Can we gain knowledge from Andrew Hewitt's perspective?,True
SearchCreativeWork,Set your sights on the Jersey Boys saga on TV.,True
PlayMusic,Put on a soundtrack from the sixties.,True
SearchCreativeWork,Could you arrange it so that I have access to the song known as Compulsive Disclosure?,True
SearchScreeningEvent,Can you suggest some fun and lively films to watch during dinner?,True
GetWeather,What can be expected in LA regarding icy conditions?,True
GetWeather,Can we expect to see any cloud formation over VI within the next 14 minutes.,True
GetWeather,What can we expect from the climate over at Milleville Beach?,True
PlayMusic,Run the top-20 Nawang Khechog music compilation.,True
GetWeather,"Can you tell me about the expected atmosphere at the current spot starting on Jul. 19, 2030?",True
GetWeather,"Could you inform me about the possibility of snow in Mount Airy, VI within 8 hours?",True
GetWeather,"Can you tell me about the atmospheric conditions at the present location on July 19th, 2030?",True
RateBook,How many stars does the present novel deserve out of six?,True
SearchCreativeWork,Unearth the entertainment production To Me available for viewing.,True
AddToPlaylist,Incorporate Toyan into my chart-topping gaming music directory.,True
PlayMusic,Begin streaming music by Lynn & Wade Llp.,True
RateBook,Grant 5 stars to The Crystal Snare.,True
RateBook,What is your evaluation of this book based on a 6-point scale?,True
BookRestaurant,Reserve a place for a group of four at the South Street Diner in Oklahoma.,True
BookRestaurant,Is it possible to arrange accommodation for four individuals at the Settha Palace in Saint Helena?,True
PlayMusic,Can you stream the song Have You Met Miss Jones by Nicole on Google Music?,True
GetWeather,What can one expect in terms of outdoor elements at Turtle Islands National Park?,True
SearchCreativeWork,Unearth a unique piece named Fire in the Hole.,True
AddToPlaylist,Include this album in the grouping of Old School Death Metal works.,True
BookRestaurant,Is it possible to arrange a setting in proximity to where Pat studies?,True
SearchCreativeWork,Discover the album titled Orphan Girl in the Cemetery.,True
SearchScreeningEvent,It's my desire to witness Outcast.,True
BookRestaurant,Reserve a place in the vicinity of Pat's university to dine.,True
RateBook,Evaluate Personal Demons with a point-based system out of 6 possible scores.,True
SearchScreeningEvent,What are some animated features that can add excitement to your meal?,True
BookRestaurant,Could you suggest a place where I can dine out around MA?,True
AddToPlaylist,Incorporate the 40 cal melody into the laundry list.,True
GetWeather,"Can you provide information about Morocco's conditions at Lake Ozark on December 17, 2022?",True
BookRestaurant,Can you suggest a place to savor delicious bougatsa near Penn for three persons in the coming year?,True
SearchCreativeWork,Is it possible for you to determine the image of Epic Conditions?,True
SearchCreativeWork,"Can you guide me to the artwork named ""ALMOST HUMAN""?",True
SearchCreativeWork,In need of an artwork bearing the name With You.,True
BookRestaurant,I require accommodation for a party of four; will it be guaranteed?,True
AddToPlaylist,Please incorporate this performer into my compilation of electronic songs that bring me happiness.,True
PlayMusic,Start streaming This Is: Miles Davis via Lastfm.,True
SearchCreativeWork,Kindly locate the confidential manual for me.,True
RateBook,How many stars would you assign to Hat Cat?,True
GetWeather,How would you characterize the air outside at two in the morning?,True
AddToPlaylist,Can Toyan be included in my collection for Epic Gaming?,True
SearchCreativeWork,In need of assistance finding the video game Phinally Phamous?,True
PlayMusic,Access Dr. Lecter by David Hodges on Itunes.,True
PlayMusic,Is it conceivable for me to get hold of an installment of Mike Harding's show in my hands?,True
PlayMusic,Leverage the last fm app to start streaming A Mis Ninos de 30.,True
RateBook,Would you consider awarding this album with a low star count?,True
GetWeather,"Could you provide me with any meteorological updates during 12/26/2018 in Walden, Russia?",True
AddToPlaylist,Incorporate the artist into the collection of political punk songs.,True
SearchCreativeWork,Are there any resources available that describe the mechanics and features of ATLA: All This Life Allows?,True
RateBook,Evaluate this album with a 5-point system.,True
BookRestaurant,Secure a space for 9 people.,True
SearchCreativeWork,"Is it possible for you to find the chronicle ""The Deep Six"" on my behalf?",True
BookRestaurant,"Looking for a gastropub near Concord MN where up to five individuals can enjoy their meals without any hassle, know of any places like that?",True
RateBook,"In your opinion, how does A World Apart score in relation to a four-point standard?",True
RateBook,What is your evaluation of this saga on a scale of six?,True
GetWeather,"Can you describe the conditions outside in Tyonek, New Jersey?",True
SearchCreativeWork,Would it be possible to obtain the entire saga of The Henderson Kids?,True
BookRestaurant,Procure an engagement to indulge in pasta dishes within the inn.,True
PlayMusic,Kindly initiate the playback of the tracks released in 1996.,True
SearchCreativeWork,Is it possible for you to locate the book named The Ridiculous 6?,True
SearchCreativeWork,How can I obtain the song from Secret South?,True
SearchCreativeWork,Can you find the program called The Best of White Lion?,True
SearchCreativeWork,"I'm in need of the book that is kept under the term Classified, can you assist me in obtaining it?",True
GetWeather,How will it be like in Wyoming at Stanardsville during a storm event?,True
AddToPlaylist,I want to incorporate a track related to excavation into my compilation of songs for the young at heart.,True
BookRestaurant,Arrange for a gathering of nine people to enjoy baked goods in Nunez.,True
RateBook,Awarding stars would be inappropriate when it comes to this textbook.,True
SearchScreeningEvent,Is there a particular cinema showcasing any new releases in the vicinity?,True
SearchCreativeWork,Could you offer me a sneak peek of Good Morning Sunshine?,True
SearchScreeningEvent,What time are the feature films being shown in Great Escape Theatres?,True
AddToPlaylist,May Tommy Johnson tracks be a part of The MetalSucks Selections?,True
RateBook,What do you think of the current novel with 3 stars?,True
PlayMusic,Let Nicole's rendition of 'Have You Met Miss Jones' from Google Music fill the air.,True
SearchCreativeWork,Can you pinpoint the spot where the Epic Conditions image can be found?,True
RateBook,This book deserves a score of 3 stars out of 6.,True
SearchCreativeWork,"I am in need of locating the videogame called 20 Hours in America, can you assist me?",True
BookRestaurant,Can I reserve a spot at a local Penn eatery serving bougatsa for three individuals in the upcoming year?,True
BookRestaurant,"By 5pm today, I'd like to satisfy the appetite of a group of six people in NE.",True
AddToPlaylist,"Incorporate ""Recalled to Life"" in ""This Is Alejandro Fernandez"".",True
AddToPlaylist,Incorporate the tune into the Macaroni and Cheese set of tracks.,True
PlayMusic,Please recommend some compositions from the Rock Symphonique classification for me.,True
SearchScreeningEvent,Discover nearby motion pictures in a lively format.,True
SearchCreativeWork,Could you furnish me with the visual teaser for The Sword with No Name movie?,True
RateBook,Provide a score for the Hindu Temples: What Occurred to Them with five stars out of six.,True
SearchCreativeWork,"Can you procure the restricted publication, please?",True
BookRestaurant,"Do you know of any spot that offers scrumptious bougatsa close to Penn, where I can bring two companions sometime next year?",True
GetWeather,"On August 21, 2035, what kind of climatic changes can be anticipated in Sarygamysh Sanctuary?",True
GetWeather,"Is there a possibility of rainfall in Ramey, Saudi Arabia during Sunrise?",True
GetWeather,Can you tell me what conditions to expect on Sep. 26 in Emerado Saint Pierre and Miquelon?,True
BookRestaurant,Reserve a place for one person to partake of food at a diner situated in WI.,True
RateBook,Zero stars would be an appropriate evaluation for this textbook.,True
